,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
666,,,,,,,,0,0,0,Hi name Br,1539197866657
667,,,,,,,,0,0,0,RETWEET THIS amp LIKE THIS FOLLOW EVERYONE THAT RETWEETS amp LIKES FOLLOW BACK EVERYONE THAT FOLLOWS YOU TURN ON MY NOT,1539197866662
668,,,,,,,,0,0,0,go back panama friends amazing time blaring singing,1539197866659
670,International,Iran,International,,,,,0,0,0,The International Community Must Speak Up Iran must Be Held Accountable For Not Fulfilling It International Human,1539197866662
671,,,,,,,,0,0,0,plus one aguevoooooo,1539197867657
672,,,,,,,,0,0,0,Why like else want ugh,1539197867665
673,SaudiArabian,Americans,,,,,,0,0,0,App nice free calls amp texts SaudiArabian Americans,1539197867658
675,,,,,,,,0,0,0,gather step stride began action towards rim travel,1539197867657
676,,,,,,,,0,0,0,someone family mistook portable charger vibrator ive heard fine day,1539197867662
677,,,,,,,,0,0,0,This fucking suuuuuucks,1539197867663
678,,,,,,,,0,0,0,We ready Botswana,1539197867664
679,,,,,,,,0,0,0,Da sleeve back fans stoked,1539197867664
680,,,,,,,,0,0,0,sum cute ass yeehaw shit cant lie,1539197867658
681,HimToo,,,,,,,0,0,0,The real HimToo men likely sexually assaulted falsely accused,1539197868664
682,,,,,,,,0,0,0,Omfgggggggg Nicki Just fucking followed G I finna die fucking love s,1539197868658
683,드림캐쳐,Dreamcatcher,굳밤스타그램,goodnight,goodnightgram,,,0,0,0,Goodnightgram Dreamcatcher goodnight goodnightgram,1539197868657
684,,,,,,,,0,0,0,ok making thread cringey tik tok vids cus best thing happened since vine died,1539197868665
685,,,,,,,,0,0,0,I still think Marlo might actual devil,1539197868665
686,,,,,,,,0,0,0,bot It UTC,1539197868659
688,,,,,,,,0,0,0,I freaking crazyyyy almost everyone relates,1539197868660
689,,,,,,,,0,0,0,For Twitter followers make sure follow us tweet PM chance win tickets We ll,1539197868657
690,,,,,,,,0,0,0,INFO Leigh record interviews today feeling sick,1539197868664
691,,,,,,,,0,0,0,There babies Turkish prisons amp living extremely poor conditions Prisons babie,1539197868666
692,,,,,,,,0,0,0,Athlete mad whole different type mad I promise,1539197868662
695,,,,,,,,0,0,0,Real quick What think happened If re thinking I m thinking Just Rt Go,1539197869657
696,Inspirational,,,,,,,0,0,0,NOW AVAILABLE This Courageous Journey book The Heart Mountains series Inspirational His,1539197869659
697,NeverTrump,,,,,,,0,0,0,Not Kanye fan still NeverTrump using incendiary language,1539197869660
698,DyisIsItManila,,,,,,,0,0,0,Close closed DyisIsItManila BMG By Edward Barber,1539197869663
699,ROHLL5,,,,,,,0,0,0,Let MAGA amp get word ROHLL,1539197869657
700,,,,,,,,0,0,0,ARMY DISCHARGE RECRUIT OVER TOMMY ROBINSON PICTURE PLEASE SHARE AS TOMMY IS WILLING TO HELP THIS MAN BOTH LEGALLY amp,1539197869662
701,,,,,,,,0,0,0,I nt want survive I want live,1539197869659
702,,,,,,,,0,0,0,I put nothing beyond Democrat party ve proven,1539197869662
704,dayofthegirl,,,,,,,0,0,0,I wearing PINK tomorrow International dayofthegirl amazing women fight patriarchy ever,1539197869663
705,,,,,,,,0,0,0,No Corbyn exactly right used wrong figures deliberate Corbyn more,1539197869661
707,TLCVegas18,tlcourage,,,,,,0,0,0,We speak see children denied learning opportunities TLCVegas tlcourage,1539197870661
708,,,,,,,,0,0,0,Fair The recommendation come vegans I guess bit qualifier,1539197870663
709,,,,,,,,0,0,0,If less k followers Retweet Follow Follow back NB Partake F,1539197870665
710,,,,,,,,0,0,0,Exactly Voter suppression core antiAmerican despite long history country,1539197870663
711,,,,,,,,0,0,0,I heard ELMO broader trend seems bigger I grasped maybe applicable to,1539197870663
712,,,,,,,,0,0,0,When drowning homework decide go w friends instead,1539197870664
713,,,,,,,,0,0,0,Shebi guys gassing Atiku break bank spend Wait till APC chieftains start lavishing wads This elect,1539197870657
714,,,,,,,,0,0,0,lmao u getting pissed yesterday u happy hitting k u gained ano,1539197870664
716,,,,,,,,0,0,0,Democrat Eric Holder When Republicans Go Low We Kick Them,1539197870661
717,,,,,,,,0,0,0,wan na make music thats like part Fleetwood Mac part Frank Ocean part Foo Fighters part Mumford amp Sons part Miguel,1539197870666
719,,,,,,,,0,0,0,Gigi Buffon top stadiums s played Definitely Anfield Liverpool That one stadiums al,1539197871661
720,,,,,,,,0,0,0,Well wonderful A LEGO version Do nt Stop Me Now Gonsero Watch,1539197871662
721,,,,,,,,0,0,0,He nt Oh wow I ai nt know Oh man,1539197871661
722,,,,,,,,0,0,0,ESPECIALLY IN MY CAR,1539197871664
723,,,,,,,,0,0,0,They already have look gets attacked streets,1539197871664
724,,,,,,,,0,0,0,The guy end throws hands brain akutoti haaaaa Jah man vanojairira ava,1539197871660
725,,,,,,,,0,0,0,Exactly I saw old picture one sisters pages amp butt cute body,1539197871658
726,,,,,,,,0,0,0,I bet oxygen CRISP shit,1539197871665
727,,,,,,,,0,0,0,believe man fixed racism,1539197871661
728,,,,,,,,0,0,0,Enjoy birthday CASTLE Your Majesty Enjoy special offer,1539197871658
729,,,,,,,,0,0,0,This legitimately one best things Cartoon Network put within last decade And happene,1539197872657
730,DONNYGreenLightIn2Days,,,,,,,0,0,0,Green Light Days go Are guys Excited DONNYGreenLightInDays,1539197872666
