,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
2,,,,,,0,0,0,little bit annoyed little bit mean whole hell lot bit,1539197340661
3,WorldMentalHealthDay,,,,,0,0,0,Today WorldMentalHealthDay If loved ones dealing suicidal thoughts mental health issues are,1539197340665
4,,,,,,0,0,0,BREAKING Christine Blasey Ford nominated Distinguished Alumna award alma mater University,1539197340662
5,,,,,,0,0,0,maybe macos find becoming german,1539197340662
7,,,,,,0,0,0,pm The Greatest Spin bowler time speaks things Cricket amp t,1539197340663
9,meme,memelive,,,,0,0,0,MeMe LiveCome Join Roman Empirememe teaching meme memelive,1539197340664
10,,,,,,0,0,0,You clueless right answer The people keep saying Bell better than,1539197340657
11,,,,,,0,0,0,If trying go movie date hoodies sweats bring blankets sneak crunch wrap supremes into,1539197341663
13,,,,,,0,0,0,The Russian Federation using Black Sea project force eastern Mediterranean Defence Minster Mihai Fi,1539197341658
14,Purplemonth,Chlie,faith,health,,0,0,0,The Purplemonth Chlie opens door study relation faith amp health Alfonso Otaegui,1539197341658
15,,,,,,0,0,0,Labor Our Revolution members calling Trump,1539197341658
18,WynonnaEarp,Earpers,,,,0,0,0,I m excited shirt came time WynonnaEarp Earpers,1539197341665
19,,,,,,0,0,0,Well honestly I said,1539197341662
20,,,,,,0,0,0,The Perm Sec MoD I get well But I afraid I tell evidence select committee today,1539197342660
21,,,,,,0,0,0,Sheldon Adelson donated million Trump campaign Adelson wanted build casinos Japan Adelson dined,1539197342665
22,,,,,,0,0,0,After four half long years Return Obra Dinn finally done enough call October th PCMac,1539197342663
23,,,,,,0,0,0,Play wit lil niggas ima send u yo grandma,1539197342660
24,,,,,,0,0,0,Plan reconing Inkblot around either pm pm,1539197342657
25,,,,,,0,0,0,Grey s Anatomy casts How I Met Your Mother star Meredith s new love interest,1539197342663
26,1MonthForSRKDay,zero,,,,0,0,0,MonthForSRKDay And possibly zero s Trailer,1539197342664
27,PSATMemes,,,,,0,0,0,PSATMemes Me Thank Mom,1539197342664
28,,,,,,0,0,0,Check I added closet Poshmark ALFANI Black Chiffon Velvet Angle Sleeve Blouse XL,1539197342661
29,,,,,,0,0,0,What fuck windows dial screen,1539197342665
30,,,,,,0,0,0,When divorce question murder forgiven Crime Times Two JULIE HOWARD,1539197342662
31,,,,,,0,0,0,You complain bridges burned,1539197343662
32,,,,,,0,0,0,said say body ever busy truly care make time,1539197343661
33,,,,,,0,0,0,This mind blowing please give caption,1539197343663
34,,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539197343664
35,,,,,,0,0,0,super psyked tickets I ve sold kidney pay Hope get great big d,1539197343662
36,,,,,,0,0,0,Tweeting wo nt make difference Go discuss track That would better s,1539197343662
37,,,,,,0,0,0,Damnit Chucky said going take football back nt mean turn team,1539197343660
38,,,,,,0,0,0,Runny eggs lawd kind monster haha,1539197343666
39,,,,,,0,0,0,This actually really accurate chart especially considering s given public school,1539197343664
40,,,,,,0,0,0,whats matter blind frost dks DEAD UNPLAYABLE I left rbg te,1539197343664
41,,,,,,0,0,0,reminder corporations responsible global greenhouse gas emissions presenting crisis as,1539197343664
43,,,,,,0,0,0,Squads Up Come Join via,1539197342659
