,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Appreciate people check,1539194400664
1,,,,0,0,0,On behalf nation I want apologize Brett entire Kavanaugh family terrible pain suff,1539194400659
2,,,,0,0,0,Haunted Hallows returns Rocket League October November Learn latest ingame Event,1539194400665
3,,,,0,0,0,Please Retweet I fuming British Soldiers targeted Muslim Council Britain Soldiers ha,1539194400657
4,,,,0,0,0,The operator limousine company involved crash killed people rural New York arrested,1539194400664
5,,,,0,0,0,Kdy got stripers opening aye boyfriend allowed go aye gon na apply dancer aye geez peace min,1539194400657
6,,,,0,0,0,mine craft,1539194400664
7,ConsultingFandom,,,0,0,0,Don deerstalkers ConsultingFandom Our next round tickets live slots available FebruaryMay h,1539194400666
8,,,,0,0,0,Power BI updates Fusing AI data visualization Best Microsoft Ignite,1539194400657
9,,,,0,0,0,I wan na ruin life differently I got new ideas,1539194400658
10,,,,0,0,0,bros rich,1539194400665
11,,,,0,0,0,Cheating cheating drunk sober boy girl kissing sleeping together everything,1539194400658
12,tech,female,,0,0,0,How tech industry Silicon Valley react California s new decisions female leaders boards,1539194400661
13,,,,0,0,0,Austin TX based stops live session around p share songs latest album Lifted,1539194400658
14,,,,0,0,0,listening marvins room wednesday pm,1539194400663
15,,,,0,0,0,please tay loves You much,1539194400666
16,analsex,deepanal,gangbang,0,0,0,Anal banging Fucking hot analsex deepanal gangbang orgy groupsex asslicking justlickit porn,1539194400664
17,SARKAR,,,0,0,0,Here Third Look SARKAR case missed,1539194400662
18,WCW,AMAs,,0,0,0,My forever WCW stole show last night s AMAs Congrats everything bb,1539194400665
19,,,,0,0,0,Join us BN Book Club featuring debut novel An Absolutely Remarkable Thing sale PL,1539194400664
20,MentalHealthDay2018,,,0,0,0,In world high performance sport s important make mental health priority MentalHealthDay,1539194401664
21,,,,0,0,0,LeBron says sons mature lets drink wine,1539194401660
22,,,,0,0,0,TV Dramas watch autumn including The Cry starring replacing Bodyguard s Sunday slot,1539194401658
23,,,,0,0,0,Another Becky calls police Black man saw two white children assumed abducted Cop g,1539194401662
24,,,,0,0,0,Battling Squirrel Brain You re alone shares couple handy nuts provide even it,1539194401659
25,,,,0,0,0,People speak English read fic English know trauma seeing dirty talk native language,1539194401664
26,,,,0,0,0,happy world mental health day pillbox antidepressants,1539194401664
27,,,,0,0,0,fact men threatening document interactions women even stop interacting women altogether to,1539194401659
28,,,,0,0,0,SCOTUS upheld voter ID law North Dakota could disenfranchise thousands Native voters amp cost Heidi Heitkamp h,1539194401664
29,twitch,,,0,0,0,It s We live tonight twitch LIVE Link bio Come hang,1539194401662
30,,,,0,0,0,I traveling African countries regularly two decades I wish others could come along could s,1539194401659
31,BTS,MPN,BTSARMY,0,0,0,Jeon Jungkook BTS MPN BTSARMY,1539194401663
32,,,,0,0,0,Our industry inspiring hiring next generation visionaries Check investment aerospace c,1539194401663
33,,,,0,0,0,Antifasciata sing along really got going antifascista house everybody say,1539194401666
34,HokieHeadlines,,,0,0,0,HokieHeadlines Willis Hazelton connection sparking Tech s offense More,1539194401662
35,Emmerdale,,,0,0,0,Tracy flashes cleavage neverending neckline Emmerdale,1539194401657
36,,,,0,0,0,Two tiny yearold finger bones belonged Neanderthal child recovered Ciemna Cav,1539194401658
37,poet,BBLaw,,0,0,0,Are poet want protect creations Go find BBLaw,1539194401661
38,SivaKarthikeyan,Ratsasan,,0,0,0,TheMost Successful SivaKarthikeyan Owes Ratsasan Watching Appreciates All Actors amp Techniciansf,1539194401666
39,ChekkaChivanthaVaanam,CCV,96TheMovie,0,0,0,ChekkaChivanthaVaanam CCV amp TheMovie reached HIT material status Kerala VijaySethupathi s stard,1539194401662
40,,,,0,0,0,gud morning hoes amp thank lovedon forget watchshare this muah,1539194401660
41,SivaKarthikeyan,Ratsasan,,0,0,0,TheMost Successful SivaKarthikeyan Owes Ratsasan Watching Appreciates All Actors amp Techniciansf,1539194401666
42,,,,0,0,0,Winners make habit manufacturing positive expectations advance event,1539194402657
43,gunviolence,,,0,0,0,Americans lost lives gunviolence yesterday gun deaths far We moving fast enough,1539194402664
44,,,,0,0,0,If things gets much could always reach friend relative It s okay feel whatever re feeling i,1539194402662
45,,,,0,0,0,get back court quit scared,1539194402660
46,FunFact,,,0,0,0,FunFact If picture taken first camera would need sit still hours,1539194402665
47,เด็กใหม่,ถ้าเราเป็นผู้ชายในความคิดคุณ,itcitybacon,0,0,0,Twitter Trend itcitybacon AStarIsBorn,1539194402660
48,,,,0,0,0,Boo sends titty pic Me,1539194402661
49,,,,0,0,0,PM Imran Khan says million investment million housing project awaits None IK s rich friends hav far i,1539194402658
50,,,,0,0,0,I wont fuck fuck Period thats perfect combination ignorant vulgar I like Thats new phrase,1539194402662
51,movies123,,,0,0,0,When Ladies Meet movies Watch movies online free movies When Ladies Meet aka wh,1539194402665
52,PCAs,TheGroup,SUPERJUNIOR,0,0,0,PCAs TheGroup SUPERJUNIOR One More Time,1539194402657
53,,,,0,0,0,A kick teeth Teacher stuck years,1539194402666
54,,,,0,0,0,Conversations men make sick,1539194402666
55,,,,0,0,0,Attention dispatch tonight pm EST taking new case ten,1539194401659
56,,,,0,0,0,Since May I walking k steps everyday This change routine one enables focus o,1539194402661
57,,,,0,0,0,Why sell us We passionate property Cinque Ports Property Hastings Lettings Estate Agents,1539194402664
58,,,,0,0,0,Eve wig wtf apple snapped flavor jumped Adam oomf literally eating flop forbidden tree a,1539194403658
59,,,,0,0,0,It crazy niggas beg chick wrong,1539194403663
60,,,,0,0,0,Thank God government use pensioners money pop pop pop pop pop champagne,1539194403657
61,Airdrop,,,0,0,0,Congratulations airdrop receivers Check wallet Full List Airdrop PRK airdr,1539194403664
