,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,If sleep dark ass quiet ass room serial killer frfr,1539197400662
1,,,,,,0,0,0,I m arrogant I nt delete tweet typo typo arrogant,1539197400658
2,,,,,,0,0,0,Fantasy petite teen dickriding reversecowgirl shameless teen models superpornoteenager c,1539197400657
3,,,,,,0,0,0,minutes TeamMum gon na first xx,1539197400659
4,,,,,,0,0,0,I know today going good day lies I tell,1539197400660
5,,,,,,0,0,0,Have ever Naija seen road Country,1539197400663
6,,,,,,0,0,0,girl school wears something shows shoulder stomach skin admin,1539197400662
7,,,,,,0,0,0,It fucked person CAME TO YOU wanted FW YOUUUU sudden change minds wa,1539197400664
8,,,,,,0,0,0,I knew Tim s laugh sounded familiar,1539197400663
9,,,,,,0,0,0,You sick fuck,1539197400661
10,,,,,,0,0,0,That post nut clarity gon na eat alive,1539197400663
11,,,,,,0,0,0,bucket list experience real love,1539197400661
12,,,,,,0,0,0,Canon imageRUNNER ADVANCE Ci Drivers Mac Canon Driver Mac,1539197400666
13,,,,,,0,0,0,r u shy bitch I met minutes ago relax,1539197400661
14,,,,,,0,0,0,In Toronto wo nt better condos Condo investment Toronto might lucrative used,1539197400662
15,,,,,,0,0,0,Got dub court tho,1539197400657
16,,,,,,0,0,0,Now playing Find Me Somebody Paul Bailey,1539197401658
17,AravindhaSamethaVeeraRaghava,,,,,0,0,0,AravindhaSamethaVeeraRaghava WEST Godavari District In Koyyalagudem L FH Benfit Show Sold Out For K,1539197401661
18,,,,,,0,0,0,Gained new followers past day I growing account right way Do,1539197401660
19,,,,,,0,0,0,listening one fave songs s got bad memories attached s good song,1539197401657
20,MandA,acquisitions,,,,0,0,0,MandA wrap picks brand acquisitions,1539197401658
21,PercyJackson,GwenStacy,whowouldwin,,,0,0,0,PercyJackson vs GwenStacy chance win whowouldwin,1539197401662
22,,,,,,0,0,0,AudioCodes participate exhibitor FutureCom Sao Paulo Oct Come meet us boo,1539197401663
23,,,,,,0,0,0,They knew They always know Was show delay,1539197401657
24,하이라이트,이기광,양요섭,손동운,용준형,0,0,0,Highlight Jakarta Fanmeeting Press Photo,1539197401659
25,,,,,,0,0,0,But look like seen better,1539197401666
26,,,,,,0,0,0,Read latest newsletter news events invite Croydon Mencap AGM,1539197401661
27,,,,,,0,0,0,Shemeka Michelle powerful message prominent black celebrities amp pundits complain day Trum,1539197402665
29,,,,,,0,0,0,Lashes me Book me,1539197402660
30,,,,,,0,0,0,Seriously If care animals vote blue,1539197402662
31,firesafety,safetyfirst,home,,,0,0,0,These lifesaving smoke alarm tips could save life firesafety safetyfirst home,1539197402665
32,Griffs,,,,,0,0,0,Three Griffs nonleague opponents Villanova Florida State Buffalo make appearance Prese,1539197402662
33,,,,,,0,0,0,These hateful people CNN called Kanye West Dumb Negro Token Negro He said Supporting Trump happe,1539197402658
34,clocks,,,,,0,0,0,All ever wanted know body clocks Was lot fun working Tom Cook team,1539197402661
