,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,0,0,0,Pixel XL notch disabled,1539195240666
1,,,,,0,0,0,Good bish haha show wild night doubt could handle,1539195240664
2,,,,,0,0,0,Lol info JS,1539195240666
3,,,,,0,0,0,Snap Originals Vertical shows Snapchat This really promising,1539195240657
4,,,,,0,0,0,milky goodness,1539195240658
5,,,,,0,0,0,This currently funniest video internet,1539195240658
6,,,,,0,0,0,girl jus pressed fucking barrel magnum skull n made beg life libra lol,1539195240666
7,,,,,0,0,0,I cry everytime think one time EXO vlive without junmyeon showed vlive singing C,1539195240660
8,,,,,0,0,0,This friendship Someone s jail ca nt sto,1539195240666
9,,,,,0,0,0,I m saying Stephen Miller serial killer serial killers loners school One,1539195240664
10,Review,,,,0,0,0,The Beast I Loved A Battered Woman s Desperate Struggle Survive Robert Davidson Review via,1539195240665
11,,,,,0,0,0,takes arms flips onto back ground Hm,1539195240664
12,,,,,0,0,0,Boycott business,1539195240660
13,,,,,0,0,0,Most people doubt women s claims assault NOT doubt yearold book s claims I son rose fr,1539195241660
14,,,,,0,0,0,Basically,1539195241661
15,,,,,0,0,0,Sweetness start week,1539195241660
16,,,,,0,0,0,I got job bio tech company I trying get hired year,1539195241659
17,,,,,0,0,0,You falling lockstep man would fuhrer,1539195241665
18,,,,,0,0,0,What want California New York decide president Sarcasm,1539195241660
19,,,,,0,0,0,Oh I thank,1539195241659
20,,,,,0,0,0,Great time Athens Georgia crowd deplorables,1539195241666
21,,,,,0,0,0,A months ago I invited young innovative architects bid architectural design work After stiff competition f,1539195241664
22,,,,,0,0,0,The answer I nt like likely so I guess I ll change I nt like a,1539195241665
23,,,,,0,0,0,yr stanning bts I find fan chant goes leader oldest youngest deadass though,1539195241663
24,,,,,0,0,0,If see retweet,1539195241666
25,,,,,0,0,0,Once another day promote mental health people r posting nice quotes everywhere wonder many people ACTUAL,1539195242657
26,,,,,0,0,0,heard someone disrespecting time smith chief,1539195242664
27,,,,,0,0,0,I hate seeing hearing something amp instantly feeling sick stomach,1539195242664
28,Flyers,,,,0,0,0,GRIT HAPPENS Accidental brilliance part Flyers plan The inside story rise fame htt,1539195242660
29,,,,,0,0,0,Y propaganda end abortion nothing help prenatal care anything baby born h,1539195242661
30,,,,,0,0,0,I never dreamed sea deep life dark long asleep,1539195242661
31,,,,,0,0,0,Pray boy Brett poor guy born without lips retweet respect,1539195242662
32,,,,,0,0,0,The deepest wounds ones come supposed family This much pain a,1539195242664
33,,,,,0,0,0,JOB New Orleans LA USA Occupational Therapist OT Inpatient Acute Care Masters Science Doctora Masters,1539195242661
34,,,,,0,0,0,Are caught season,1539195242666
35,,,,,0,0,0,I know God teach I need know remind I already know,1539195242666
36,,,,,0,0,0,The fact people homeless issue gov cared people would nt homeless Foreign aid fi,1539195242659
37,Alba,Scotland,Gàidhlig,Gaelic,0,0,0,Alba Scotland Language Map via Gidhlig Gaelic Ability Outer Hebrides Skye amp,1539195242664
38,,,,,0,0,0,Tweeted last night share Instructions get residential address listed ND And you,1539195242660
39,,,,,0,0,0,haha omitted tried spin criminal ju,1539195242664
40,ReadtheDream,,,,0,0,0,Winner time wants win Amazon gift card copies The Dream Daughter ReadtheDream,1539195242660
41,ITSM,,,,0,0,0,At know heart ITSM people And know stresses keeping everything and,1539195242661
42,,,,,0,0,0,demand explanation,1539195242661
43,,,,,0,0,0,family,1539195242657
44,,,,,0,0,0,Army follow retweets likes,1539195243659
45,,,,,0,0,0,Love ya sis,1539195243657
46,,,,,0,0,0,If Sean Hannity Laura Ingraham called Don Lemon Bakari Sellers Tara Setmeyer Token Negros like,1539195243659
47,,,,,0,0,0,I liked video Sia Cheap Thrills Ft Sean Paul Lyrics,1539195243665
48,뱀뱀,BamBam,GOT7,,0,0,0,look bam BamBam GOT,1539195243661
49,,,,,0,0,0,First thought best thought,1539195243658
50,,,,,0,0,0,It CEST,1539195243665
51,,,,,0,0,0,ABEL TO YZERMAN Video He Is Gordie Howe Watch,1539195243661
52,,,,,0,0,0,well love lot whoO NEEDS OTHER PPL sksksksksk hate,1539195243663
53,,,,,0,0,0,Get pup contract via,1539195243663
54,activists,whistleblowers,journalists,,0,0,0,How know government subcontractors harming activists whistleblowers journalists We evidence,1539195243661
55,,,,,0,0,0,New Neighborhood Guys episode recapping Milk Challenge I got swindled PETCO love old exter,1539195243665
56,MSIgnite,,,,0,0,0,We re going pull final MSIgnite eval reports tomorrow morning get tonight sorry still trying find exa,1539195242661
57,,,,,0,0,0,That lb guy sitting bed really gets around,1539195242662
58,,,,,0,0,0,rt parents divorced like parents married class project,1539195244663
59,,,,,0,0,0,Boo reader view gone,1539195244662
60,,,,,0,0,0,RESIGN IMMEDIATELY,1539195244664
61,,,,,0,0,0,Hmmm Commission,1539195244665
62,,,,,0,0,0,retweet stan Ariana Grande follow everybody retweets tweet follow everybody back follows,1539195244658
63,,,,,0,0,0,NEW Norman Powell Not Playing Wednesday,1539195244659
64,,,,,0,0,0,I take man teaching chase bag man giving,1539195244663
65,,,,,0,0,0,Your MCM wears capri pants,1539195244665
66,,,,,0,0,0,Our Moroccan winger Nordin Amrabat chosen player round,1539195244657
67,,,,,0,0,0,You re supposed blow bloody doors Nice one,1539195244661
68,,,,,0,0,0,Wow yo,1539195244663
69,,,,,0,0,0,Nollywood Actress Ufuoma Mcdermott pens emotional message son Isio,1539195244664
70,,,,,0,0,0,niggas said lil baby gunna better duo carti uzi,1539195245658
71,,,,,0,0,0,Thank checking ig,1539195245657
72,,,,,0,0,0,I know college hang I promise pay Having degree sometimes almost,1539195245659
73,,,,,0,0,0,Yo Real shit Just bcause went got logo printed tshirts NOT mean clothing company,1539195245658
74,AKSC,,,,0,0,0,Contrary earlier report friendly match Black Stars rather comes Friday AKSC,1539195245664
75,,,,,0,0,0,It works well world ending everybody really started wanting,1539195245657
76,,,,,0,0,0,THANK YOU,1539195245657
77,,,,,0,0,0,If wan na get ruff settle barking lot,1539195245661
78,,,,,0,0,0,Just trying connect WiFi LOOK AT SOMEONES HOTSPOT SKSKSK,1539195245657
79,,,,,0,0,0,This thread,1539195245665
80,,,,,0,0,0,Idgaf I attacking Twitter followers If ya drink drive automatically POS Tired seeing all,1539195245658
81,,,,,0,0,0,Dispelling fear drawing napkins,1539195245661
82,,,,,0,0,0,Glad see service restored continue urge anyone info contact Police Crimestoppers,1539195245665
83,,,,,0,0,0,Working really really hard minute The last sessions great Confident I something ready f,1539195245665
84,,,,,0,0,0,JOB Dallas TX USA Civil D AutoCad Technician Civil A P Engineering Consultant Inc immed A P Engi,1539195245657
85,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539195245661
86,,,,,0,0,0,u tell ur friend amp one getting emotional lmao STOP,1539195243658
87,Matt_Slauson,,,,0,0,0,Colts MattSlauson Played Broken Vertebrae Could Have Been Paralyzed,1539195245657
88,,,,,0,0,0,Future proof,1539195245665
89,,,,,0,0,0,im absolutely devastated,1539195241661
90,,,,,0,0,0,It s BEAUTIFUL day alive,1539195246661
91,,,,,0,0,0,amp AT amp T outsource jobs India amp China expense US workers They received massive,1539195246666
92,,,,,0,0,0,hey anyone s feeling spooky tonight come smash pumpkin head put coma,1539195246658
93,,,,,0,0,0,Remember Mike Pence political stunt NFL game last year protest kneeling anthem It cost taxpayers about,1539195246658
94,,,,,0,0,0,Round Season Boon Horadrim giveaway custom Xbox One X Retweet post enter,1539195246657
95,psat,psatmemes,,,0,0,0,psat psatmemes Zia Thank Sylheti people,1539195246659
