,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,We really Spain FC,1539196020658
1,,,,,,0,0,0,Phew Digital ad revenues save Amazon s business model analyst,1539196020664
2,BTS,TheGroup,PCAs,,,0,0,0,BTS TheGroup PCAs I project streaming voting promoting one From e,1539196020660
3,,,,,,0,0,0,AIN m ago SEC Amended Beneficial Ownership Report gt SC GA ALBANY INTERNATIONAL CORP DE,1539196020663
4,,,,,,0,0,0,Rainy days always spent well wasted,1539196020661
5,,,,,,0,0,0,I liked video MINECRAFT NOOB VS PRO SECRET HOUSES WITH UNSPEAKABLEGAMING,1539196020661
6,Division,,,,,0,0,0,We added Division shows familiar locales Tix go sale Fr,1539196020661
7,,,,,,0,0,0,mon lit,1539196020665
8,wcw,,,,,0,0,0,wcw blessing see weekend Boston Massachusetts,1539196020657
9,,,,,,0,0,0,Georgia governor warns serious damage Hurricane Michael,1539196020661
10,,,,,,0,0,0,Straight,1539196021666
11,,,,,,0,0,0,tell people exactly u feel u feel without fear offending scaring away u setting proper,1539196021658
12,,,,,,0,0,0,It CEST,1539196021666
13,,,,,,0,0,0,Why traders lose money Because trade manually amp get emotional Get coolest FX EA amp make kmonth,1539196021662
14,,,,,,0,0,0,If someone love despite flaws Weaknesses Scars Acnes uncontrolled outbursts Cherish,1539196021659
15,CapitalTemptation,,,,,0,0,0,amp joining us tomorrow another installment CapitalTemptation,1539196021659
16,,,,,,0,0,0,Great lesson Drew Brees dating back Purdue days want great Saturdays college Sun,1539196021657
17,,,,,,0,0,0,Did know wild salmon help balance hormones help ease symptoms depression Vitamins B D amp E all,1539196021662
18,,,,,,0,0,0,Grrrreat work,1539196021657
19,,,,,,0,0,0,Users Vista Grande Community Center please note The weight room closed Friday Oct All pr,1539196020661
20,,,,,,0,0,0,Put Brandi Mr Whiskers Netflix,1539196022664
21,,,,,,0,0,0,IG awendesigns,1539196022662
22,,,,,,0,0,0,Today s card There s part us feels threatened growth deeply uneasy w uncertainty of,1539196022666
23,,,,,,0,0,0,Ang rami makaka miss sayo tol hindi lang sa realiality tsaka sa Gaming world bro We never forget AdelAll,1539196022657
24,,,,,,0,0,0,I d rather sarcastic harsh best friend fake insecure friend,1539196022662
