,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,Everyone struggles others Always remember feelings valid take time needed,1539196920665
1,,,,,,0,0,0,I sneezing day,1539196920657
2,,,,,,0,0,0,Why twitter promoting bullshit feed fuck dude,1539196920657
3,,,,,,0,0,0,When Alpha I fight,1539196920658
4,,,,,,0,0,0,I know Offset ran Joe Budden Barneys Barnes Noble I gon na play dumb support literary scene,1539196920665
5,,,,,,0,0,0,If someone scored like via linusfergestadIG,1539196920662
6,,,,,,0,0,0,GIVEAWAY Follow like tag friend enter Winner announced Friday th Oct,1539196920662
7,,,,,,0,0,0,Looks like normal Tony Ferguson workout,1539196920662
8,,,,,,0,0,0,Well looks good ones Eclectic justice Love Omnibus The M,1539196921663
9,,,,,,0,0,0,I added video playlist Doctor Who Series amp Soundtrack Rose In Peril,1539196921657
10,,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539196921659
11,,,,,,0,0,0,people BEEN gay,1539196921665
12,,,,,,0,0,0,Girl could ever get tired Girl look face u lie,1539196921666
13,,,,,,0,0,0,I wo nt become thing I hate,1539196921657
14,,,,,,0,0,0,Verne Troyer s Death Ruled Suicide Alcohol Abuse,1539196921666
15,,,,,,0,0,0,Nd com nd,1539196921660
18,AmazonGreatIndianFestivalLive,GuessTheAmazonPrice,,,,0,0,0,miss superb contest guys AmazonGreatIndianFestivalLive GuessTheAmazonPrice,1539196921658
19,,,,,,0,0,0,Let s connect Nigerians With tweet Follow Retweet reply ifb follow back get followed Follow,1539196921662
20,یہی_وقت_ہے,,,,,0,0,0,realize deeply r screwed tabdeeli,1539196921666
21,,,,,,0,0,0,Kevin McCarthy new bill complete wall gain clear control southern border vital safety Fen,1539196921664
23,,,,,,0,0,0,might live Florida praying hurricane comes way get days like season w,1539196922657
24,,,,,,0,0,0,Elliott nt junior league ready,1539196922666
25,,,,,,0,0,0,wanders around head clouds thinking something odd,1539196922665
26,,,,,,0,0,0,I literally energy harbor passive aggressiveness shadiness uncertainty relationships form,1539196922662
27,,,,,,0,0,0,I BEST time Milo today Dallas Arboretum And Botanical Society,1539196922657
28,,,,,,0,0,0,California Admits Error That Put NonCitizens Voter Rolls,1539196922657
