,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,0,0,0,found one coworkers neighbors PASTOR TROY,1539196680662
1,,,,,,,,,0,0,0,Opposite rich sex,1539196680665
2,,,,,,,,,0,0,0,Use y mxb calculate slope line crossed,1539196680662
3,,,,,,,,,0,0,0,Lake Hillier Australia,1539196680659
4,,,,,,,,,0,0,0,Earthquakes tsunamis tornadoes traditionally Acts God Insurance Forms But climatechange continues coas,1539196680661
5,,,,,,,,,0,0,0,For third time BBC rejected complaint news programme confusing rough sleeping homelessness I,1539196680657
6,LYTourLondon,,,,,,,,0,0,0,Jin Purple LYTourLondon,1539196680663
8,,,,,,,,,0,0,0,DEVELOPING Homes Completely Destroyed In Mexico Beach Florida,1539196680659
9,,,,,,,,,0,0,0,Catchy Videos Made Design Pieces,1539196680665
10,,,,,,,,,0,0,0,Get involved Warrington Existing league,1539196680664
11,,,,,,,,,0,0,0,Watch Republican Duane Quam follow Democrat,1539196680662
12,,,,,,,,,0,0,0,Andrew Gillum shows true leader He going amazing Governor Floridians Trump truly fuc,1539196680661
13,,,,,,,,,0,0,0,Ivanka I know President nominate formidable replacement Ambassador Haley That replacement b,1539196680664
14,,,,,,,,,0,0,0,I formed firm opinion Beto Anyone promises everything everyone con Where I send check,1539196680657
15,,,,,,,,,0,0,0,When Colin I argue charger hahaha,1539196680664
17,,,,,,,,,0,0,0,I ask opinion Sims character fucking weirdo,1539196680663
18,,,,,,,,,0,0,0,I M SOBBING THIS IS TOO PRECIOUS,1539196680665
19,,,,,,,,,0,0,0,Met gala theme next year camp Y think,1539196681662
20,,,,,,,,,0,0,0,Israelis tell UM prez cancan lecture campus Target former Panther artist Emory Douglas,1539196681664
21,,,,,,,,,0,0,0,WHEN THE DOCTOR APPEARS AND THE THEME STAS PLAYING,1539196681664
22,,,,,,,,,0,0,0,GENIE MUSIC AWARDS Oct PM KST daily login comment x solve quiz follow for,1539196681663
23,,,,,,,,,0,0,0,When Baekhyun character died Sehun Just curse hyung Don hold Just curse Baekhyun No HAHAHAHAHAHA h,1539196681665
24,,,,,,,,,0,0,0,Today I woke run sat sofa put sneakers woke hours later said sofa one sneak,1539196681664
25,AmazonGreatIndianFestivalLive,,,,,,,,0,0,0,I think price iPhone around Rs AmazonGreatIndianFestivalLive,1539196681659
26,CanariasDigital,,,,,,,,0,0,0,full con CanariasDigital,1539196681659
27,,,,,,,,,0,0,0,Trump said scary time young men America No s scary time women anyone believes equit,1539196681662
28,,,,,,,,,0,0,0,I tried wish cousin happy birthday lil nigga sonned I m,1539196682664
29,,,,,,,,,0,0,0,hell even mean,1539196682657
30,,,,,,,,,0,0,0,So I live protrump mostly low income Why lower income people support pres has,1539196682661
31,,,,,,,,,0,0,0,This accurate How one word difficult say yet make profound difference y,1539196682666
32,,,,,,,,,0,0,0,You cant make,1539196682657
33,,,,,,,,,0,0,0,I sorry Heartbreaking hear,1539196682661
34,,,,,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539196682660
35,,,,,,,,,0,0,0,Change thoughts change world Norman Vincent Peale,1539196682665
36,,,,,,,,,0,0,0,White women kneeling anthem protest rape culture highjacking movement took risks You didn,1539196682659
37,,,,,,,,,0,0,0,Trump last night called Dems party crime dangerous govern crazy That way future dictators talk a,1539196681662
39,,,,,,,,,0,0,0,Sending Special Prayer request nephew Tracy Thomas hospital really sick talked prayer needed,1539196681660
40,,,,,,,,,0,0,0,Lately I ve depressed I ve ever entire life I also lost BIG part support network,1539196681666
41,,,,,,,,,0,0,0,Before end October God change story,1539196683657
42,,,,,,,,,0,0,0,To M amp E Officers well promote fail job I swear leave Chai,1539196683657
43,nationalhandbagday,,,,,,,,0,0,0,Because get carried away nationalhandbagday Angel City Totes today only,1539196683665
44,,,,,,,,,0,0,0,The Emma says delayed thrown widely south course great storm March st,1539196683666
46,,,,,,,,,0,0,0,Cruz Senate bill Human Shields draws bipartisan support,1539196683660
47,,,,,,,,,0,0,0,Today step away another breathless news cycle prioritize mental health wellbeing Never afraid to,1539196683660
48,,,,,,,,,0,0,0,The EU s days numbered You could stayed home Its,1539196683658
49,,,,,,,,,0,0,0,Somethin new ya hours TWIMC x x Cold AF,1539196682657
50,,,,,,,,,0,0,0,I m shark,1539196683663
51,,,,,,,,,0,0,0,Jane s wins Defence Media Awards Jane s,1539196683666
52,,,,,,,,,0,0,0,CCuddle He s cute,1539196683665
53,,,,,,,,,0,0,0,renata stop eating tweet funny stuff challenge,1539196683666
55,یہی_وقت_ہے,,,,,,,,0,0,0,Yesterday gone Tomorrow yet come We today Let us begin,1539196682661
56,,,,,,,,,0,0,0,Exchange rateLek strengthens position versus main hard currencies,1539196683663
57,,,,,,,,,0,0,0,When manager make corny joke walk away,1539196683658
58,,,,,,,,,0,0,0,I actually stop watching making shake laug,1539196683664
59,,,,,,,,,0,0,0,This part Kemp s yearslong war voting rights,1539196683664
60,,,,,,,,,0,0,0,amp follow chance win Funko Shop Exclusive Pop Animation TrickorSweet Bear,1539196682664
61,,,,,,,,,0,0,0,Another big step towards Authoritarianism This HUGE red flad Trump administration wants take away our,1539196684661
62,,,,,,,,,0,0,0,I fuck fuck Period,1539196684661
63,,,,,,,,,0,0,0,Omg opinions twitter pay bills,1539196684658
64,,,,,,,,,0,0,0,The doctors am,1539196684659
66,,,,,,,,,0,0,0,This guy one scoring team,1539196684662
68,,,,,,,,,0,0,0,It fucked person CAME TO YOU wanted FW YOUUUU sudden change minds wa,1539196684663
69,,,,,,,,,0,0,0,THIS IS WHAT DEMOCRATS WANT VIOLENCE,1539196684659
70,MONSTA_X,몬스타엑스,ARE_YOU_THERE,INSIDE_PHOTO,MONSTAX,정규2집,인사이드포토,181022_릴리즈,0,0,0,MONSTAX THE ND ALBUM TAKE lt AREYOUTHERE gt INSIDEPHOTO MONSTAX ht,1539196684661
71,,,,,,,,,0,0,0,Move Houston vote,1539196684666
72,,,,,,,,,0,0,0,This greatest Stan Lee cameo ever anyone disagrees indenial,1539196684658
73,,,,,,,,,0,0,0,Breaking news VCbacked GLyPharma Therapeutic acquired Therachon,1539196684658
74,,,,,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539196681663
76,,,,,,,,,0,0,0,Ima start letting cuz I look much shit weighs shoulders want,1539196685662
77,,,,,,,,,0,0,0,Just saved someone losing job And s deed day,1539196685659
78,,,,,,,,,0,0,0,Decision pending historical Island soccer challenge,1539196685660
79,,,,,,,,,0,0,0,s dumbest idea ve today,1539196685660
80,,,,,,,,,0,0,0,Instead Bane Suicide Squad let put S,1539196685659
81,,,,,,,,,0,0,0,This girl legit,1539196685666
82,,,,,,,,,0,0,0,WATCH Hillary Clinton Calls On Democrats To Be UNCIVIL Against Conservatives via,1539196685662
84,Twilight,,,,,,,,0,0,0,A love story came life Experience Twilight select theaters TWO NIGHTS amp,1539196685665
85,,,,,,,,,0,0,0,finished elite Netflix I need season nowwww,1539196685662
86,HurricaneMichael,,,,,,,,0,0,0,It s definitely yet Phil Keating live Apalachicola HurricaneMichael makes landfall Florida,1539196685666
87,,,,,,,,,0,0,0,Trio Saint Bernard dogs looking forever home,1539196685664
88,,,,,,,,,0,0,0,Do guys know movies Lol A movie something filmed shown audience They edit s,1539196685666
89,bdsm,findom,sex,cam,fetish,,,,0,0,0,funlover bdsm findom sex cam fetish,1539196685663
90,,,,,,,,,0,0,0,Somethin new ya hours TWIMC x x Cold AF,1539196682657
91,,,,,,,,,0,0,0,While may seem obvious INDOT remind Hoosiers ride scooters highway Please careful ht,1539196686666
93,,,,,,,,,0,0,0,Do struggle Depression Anxiety An eating disorder OCD Selfharm PTSD Bipolar disorder Insomnia ADHD,1539196686663
94,,,,,,,,,0,0,0,Queen Another One Bites The Dust album Greatest Hits,1539196686664
95,,,,,,,,,0,0,0,It s funny seeing ppl kiss youtubers asses lmao girl care care views,1539196686661
96,,,,,,,,,0,0,0,I liked video REACTING TO THE WEIRDEST REDDITS,1539196686666
97,,,,,,,,,0,0,0,CONGRATULATIONS TO retaining runners award They real winners,1539196686664
98,,,,,,,,,0,0,0,DEAR HAIR PLEASE GROW DEAR CASH PLEASE FLOW DEAR ASS NEED MO,1539196686664
99,,,,,,,,,0,0,0,Wait acknowledge successfully skipped Nword entirety clip,1539196686661
101,Odyssey,,,,,,,,0,0,0,So cover How Deep Is Your Love better first time Add THE Barry Gibb Odyssey,1539196686665
102,,,,,,,,,0,0,0,She pretends s crackhead time comes proves biggest crackhead them,1539196686662
103,,,,,,,,,0,0,0,Daily briefing Court orders Netherlands make deeper carbon cuts Nature More w E,1539196686661
104,,,,,,,,,0,0,0,Outside Box The money lessons parents taught,1539196686659
105,,,,,,,,,0,0,0,Gold Sees Modest Gains As US Stock Market SellOff Accelerates,1539196686659
106,,,,,,,,,0,0,0,Epiphone Special Junior Electric Guitar,1539196686665
107,CastingCall,voiceactors,,,,,,,0,0,0,CastingCall re almost wrapped feature looking voiceactors following ANGRY BOSS,1539196683665
108,,,,,,,,,0,0,0,APC candidates governor NASS House Assembly Zamfara I assure many states suffer,1539196687659
109,,,,,,,,,0,0,0,fun new game called hurt feelings n seems like everyone playing,1539196687660
110,,,,,,,,,0,0,0,They look like bunch hooligans still better torn tights men wear today,1539196687659
111,,,,,,,,,0,0,0,We short time left use special emoji s little game Create Your Own EXO mini concert S,1539196687662
112,,,,,,,,,0,0,0,If less K followers Retweet Retweet fast Follow everyone likes amp retweets Follow back instant,1539196687663
113,,,,,,,,,0,0,0,It sucks observant person bc I notice every lil thing every action amp I literally get sad irritated ove,1539196687659
114,TheGroup,,,,,,,,0,0,0,Top countries voting TheGroup,1539196687657
115,,,,,,,,,0,0,0,Just I short stature nt mean I get stool smack head know,1539196687662
116,,,,,,,,,0,0,0,I fuckn love,1539196687658
117,,,,,,,,,0,0,0,How s father s recovery going,1539196687657
118,,,,,,,,,0,0,0,Mamma s love,1539196687659
119,,,,,,,,,0,0,0,Please read lovely tweet thread,1539196687662
122,,,,,,,,,0,0,0,Since launch US routes Dublin months ago carried passengers To,1539196687658
123,,,,,,,,,0,0,0,For Next time think Drinking Driving cool,1539196687660
124,,,,,,,,,0,0,0,Here way computing devices could compromised We must remember thes,1539196687660
125,,,,,,,,,0,0,0,My Boyfriend Wrote A Book About Me Pdf,1539196686665
126,,,,,,,,,0,0,0,I m much far ass It embarrassing,1539196688664
127,,,,,,,,,0,0,0,come home am mom asks night last night,1539196688665
128,KartikGoenka,,,,,,,,0,0,0,Agar woh mujhe bhool gayi toh Main mar jaavunga KartikGoenka I ca nt describe words tough amp worst,1539196688665
129,,,,,,,,,0,0,0,Indeed Forgive ignorance arrogance,1539196688666
130,,,,,,,,,0,0,0,Those hardest love need,1539196688657
131,Michigan,,,,,,,,0,0,0,Opinion Redistricting ballot proposal confusing bad Michigan via,1539196688661
132,,,,,,,,,0,0,0,tell adults think disrespectful let disrespect,1539196688664
133,,,,,,,,,0,0,0,Water temp Gulf degrees Hurricanes like Michael feed warm waters If believe tweet liberal,1539196688665
134,,,,,,,,,0,0,0,Remarkable I thinking toward Democrats,1539196688659
135,MentalHealthDay,,,,,,,,0,0,0,MentalHealthDay It okay throw morning withdrawal month benzos necessary maint,1539196688659
