,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,0,0,0,Zimbabwe really lacks tough amp knowledgeable investigative reporters Maybe fear many breaking stor,1539201900666
1,,,,,,,,0,0,0,even bad term nigga still want u win dawg,1539201900663
2,Days,BenWeston,,,,,,0,0,0,Sharing st fan vid Days BenWeston fans portrayal Ben struggle remembering pas,1539201900666
3,RinaEllis,RealityKings,,,,,,0,0,0,Dont Tell My Mom Little Slut RinaEllis Craves Her Stepdads Cock RealityKings,1539201900660
4,,,,,,,,0,0,0,Wtf tell legs warm,1539201900661
5,,,,,,,,0,0,0,jimmy butler really showed cussed everybody beat starters third string squad amp mobbed really,1539201900666
6,disinformation,,,,,,,0,0,0,Looking forward s work fighting disinformation hope expected start date happens,1539201900665
7,,,,,,,,0,0,0,This mayor lived streets better understand problem homelessness s hoping take learned,1539201900657
8,,,,,,,,0,0,0,Honestly s sister s made strong Thank guys siblings,1539201900665
9,,,,,,,,0,0,0,This nigga trash lol,1539201900661
10,Youngmindsdan,,,,,,,0,0,0,Youngmindsdan life like series unfortunate events know even type f,1539201900658
11,,,,,,,,0,0,0,imagine born going whole life trying find love finally getting married deciding kids en,1539201901657
12,,,,,,,,0,0,0,I sure I happy anxious I laugh I didnt know popular I know,1539201901658
13,,,,,,,,0,0,0,huh anyone catch MM said becoming mother whether thinks Like,1539201901664
14,,,,,,,,0,0,0,I understand LNP After nation voted overwhelmingly marriage equality interim PM,1539201901664
15,,,,,,,,0,0,0,Shiiiiiddd Get man outta Minnesota They gon na drive fuckn type snow,1539201901663
16,,,,,,,,0,0,0,I sorry loss,1539201901663
17,predator,cyberman,,,,,,0,0,0,Watching And creature looks like blend predator cyberman,1539201901660
18,,,,,,,,0,0,0,Little Mix also segment Good Morning Britain Friday morning,1539201901666
19,,,,,,,,0,0,0,BREAKING Director Wray Refuses Deny Trump s Phone Calls Are Being Collected FISA Database VIDEO,1539201901666
20,,,,,,,,0,0,0,said say body ever busy truly care make time,1539201901659
21,,,,,,,,0,0,0,New things coming soon,1539201901658
22,옥션아이디판매,옥션아이디인증,옥션생성아이디판매,옥션아이디팝니다,카톡,스카이프,네이트온,0,0,0,id naverid naverid,1539201902662
23,,,,,,,,0,0,0,said say body ever busy truly care make time,1539201902660
24,,,,,,,,0,0,0,The struggle real trying find another lash lady go lady maternity leave,1539201902663
25,,,,,,,,0,0,0,HAPPY BIHDAY NARUTO,1539201902664
26,Aladdin,,,,,,,0,0,0,Something looks familiar Aladdin,1539201902665
27,,,,,,,,0,0,0,Your boyfriend bum,1539201902665
28,yeezyseason6,style,myfashion,dailylook,fashion,mensfashion,mensstyle,0,0,0,Scratchwear Diaries LOST HILLS yeezyseason style myfashion dailylook fashion mensfashion mensstyle,1539201902665
29,,,,,,,,0,0,0,Totally agree Rescind knighthood,1539201902662
30,,,,,,,,0,0,0,I think I need start singing Jim Reeves song everyday world passing thr,1539201902666
31,,,,,,,,0,0,0,Someone made comment never positing kids IG anyones business I many ppl o,1539201902662
32,,,,,,,,0,0,0,Before Americans take back America know take back This virtual encyclop,1539201902662
33,,,,,,,,0,0,0,someone tell love much,1539201902663
35,,,,,,,,0,0,0,Everyday animals destroying orangutan habitats grow soy It doesnt add,1539201903665
36,,,,,,,,0,0,0,Who thinks put It Almost Halloween,1539201903658
37,,,,,,,,0,0,0,I apologize I toxic person life I learning growing,1539201902659
38,,,,,,,,0,0,0,I planning dye hair blonde soon gon na necessity,1539201903663
39,worldmentalhealthday,,,,,,,0,0,0,worldmentalhealthday I m struggling find words write post I hope know re going t,1539201903657
40,,,,,,,,0,0,0,outdoor wicked pictures strapon some home habib show video porno masturbation pornhub,1539201903660
41,,,,,,,,0,0,0,Why yall colored,1539201903658
43,,,,,,,,0,0,0,What part Russia China,1539201903661
45,,,,,,,,0,0,0,I WAN NA FIX YOUR HEA,1539201903658
47,sportswears,KarateSuit,,,,,,0,0,0,We Are Bringing Lots Of Sports And Other Products Like sportswears Wear KarateSuit,1539201903658
48,,,,,,,,0,0,0,If s even slight chance getting something make happy risk Life s short amp happiness i,1539201903660
49,,,,,,,,0,0,0,baby always workinnn,1539201903661
50,,,,,,,,0,0,0,Different ways coping,1539201902663
51,,,,,,,,0,0,0,I liked video EXCALIBUR,1539201904659
52,,,,,,,,0,0,0,Cristopher Steele Speaks Out TrumpRussia dossier author breaks silence criticizes president distorted a,1539201904663
53,,,,,,,,0,0,0,bipartisan bill heading Senate floor vote would impose sanctions terrorist,1539201904660
54,,,,,,,,0,0,0,John Cox needs win California Governor race Vote RED November Bring California back state w,1539201904664
55,,,,,,,,0,0,0,Thank Sorry sound snippy,1539201904660
56,,,,,,,,0,0,0,Apple Offer Original TV Content Free Apple Device Owners,1539201904663
58,,,,,,,,0,0,0,She laughed leaned resting head shoulder It s already fairy tale I ve foun,1539201904662
59,,,,,,,,0,0,0,I nt speak gay Med shit retard,1539201904658
60,,,,,,,,0,0,0,Jon Jones UFC return set Dec vs Alexander Gustafsson UFC per Jones beat Gustafsson,1539201902659
61,,,,,,,,0,0,0,More money sense,1539201905659
62,,,,,,,,0,0,0,After talks fell apart weekend Miami s still pursuing discussions Minnesota Jimmy Butler trade sources tell E,1539201905666
63,,,,,,,,0,0,0,I sure I want lifestyle talent boobs money date I confused,1539201905658
64,,,,,,,,0,0,0,I never knew people Ghana wants downfall including Journalists Artistes sport,1539201905661
65,,,,,,,,0,0,0,You certainly certifiable,1539201905662
66,,,,,,,,0,0,0,This becoming deepest lore right wing twitter,1539201905663
67,,,,,,,,0,0,0,I many hideys,1539201905662
68,,,,,,,,0,0,0,Ralph Lauren Glen Plaid Double Old Fashioned Single Crystal Glass Tweeted via,1539201905661
69,,,,,,,,0,0,0,Dawg I ever bite macaroni taste pumpkin everybody got fight,1539201905660
70,,,,,,,,0,0,0,Haunting By The Sea A paranormal cozy mystery series Homecoming Secrets,1539201905663
71,,,,,,,,0,0,0,Every girl bestfriend boyfriend true love But re really lucky re person,1539201906663
72,MeToo,IBelieveSurvivors,,,,,,0,0,0,Someone Bought Made It Resource Sexual Assault Survivors MeToo IBelieveSurvivors,1539201906661
73,,,,,,,,0,0,0,What s street food like live,1539201906663
74,,,,,,,,0,0,0,Couldn done half without love much xxx,1539201906660
75,cardano,ada,cryptocurrency,,,,,0,0,0,Cardano USD Cardano increased USD mins Live price cardano ada cryptocurrency,1539201906665
76,ShadowHunters,TheScifiFantasyShow,pcas,,,,,0,0,0,I voted ShadowHunters TheScifiFantasyShow Cast vote E People s Choice Awards pcas,1539201906660
77,,,,,,,,0,0,0,I ve rping longest account For year Now re l,1539201906657
78,MPN,Anitta,SelenaGomez,Anitters,AnittaGata,Medicina,MaiaReficco,0,0,0,GbP MPN Anitta SelenaGomez Anitters AnittaGata Medicina MaiaReficco HotelTransilvania PCAs TheAlbum Car,1539201906662
79,,,,,,,,0,0,0,Watch Huawei Connect Live chance win Huawei Mate phone Simply screenshot favorite moments share Fa,1539201906665
80,,,,,,,,0,0,0,HE IS SO ALLURING,1539201906666
81,,,,,,,,0,0,0,I think appreciate next video I m preparin,1539201906665
82,,,,,,,,0,0,0,odd flex ok,1539201906665
83,,,,,,,,0,0,0,Mike Anthony I M YOURS,1539201906659
84,,,,,,,,0,0,0,Hi name Br,1539201906661
85,,,,,,,,0,0,0,Breaking Jon Jones vs Alexander Gustafsson UFC Dec Las Vegas booked multiple sources clos,1539201906661
86,,,,,,,,0,0,0,If s even slight chance getting something make happy risk Life s short amp happiness i,1539201903660
87,,,,,,,,0,0,0,Nikki Haley accepted private flights GOP donors office IG investigation requested via,1539201906662
88,mETaL,,,,,,,0,0,0,Evanescence Away From Me mETaL,1539201906665
89,,,,,,,,0,0,0,Phenotypic genetic analysis spike kernel characteristics wheat reveals longterm genetic trends gr,1539201906664
90,,,,,,,,0,0,0,god damn good tweet,1539201907657
91,Sweepstakes,WIN,,,,,,0,0,0,Enter Making Life Sweeter Sweepstakes daily WIN box Sweetie Sweet Onions friends,1539201907665
92,,,,,,,,0,0,0,This favorite story time man,1539201907661
93,,,,,,,,0,0,0,Classic nothing see right,1539201907665
94,,,,,,,,0,0,0,Wan na know s mine Breathe give life Got hearts line They wasting time Cause right,1539201907661
95,Inktober,,,,,,,0,0,0,Day Inktober drawn concept artist s worked RWBY gen LOCK RWBY Chibi,1539201907657
97,,,,,,,,0,0,0,As good ace,1539201907659
98,,,,,,,,0,0,0,I apologize I toxic person life I learning growing,1539201902659
99,,,,,,,,0,0,0,Great moments bipartisanship con d,1539201908657
100,,,,,,,,0,0,0,Rachel Mitchell recklessly lent credibility Senate hearing none No reasonable prosecutor would rel,1539201908661
101,,,,,,,,0,0,0,This video blow mind,1539201908666
102,ableg,medhat,,,,,,0,0,0,Kenney likely cemented new voters party Notley likely cemented voter cynicism ableg medhat,1539201908661
103,Jewish,Rome,,,,,,0,0,0,A marble slab covers burial place yrold girl member Jewish community late antique Rome,1539201908666
104,,,,,,,,0,0,0,CrowdForce An ecosystem crowdsourced micro tasks services emerging markets,1539201908661
106,,,,,,,,0,0,0,amp follow chance WIN exclusive Miami Vice Vynl Pack,1539201908663
107,,,,,,,,0,0,0,Jesus kid star,1539201908663
108,TheApprentice2018,,,,,,,0,0,0,If beards TheApprentice,1539201908661
109,,,,,,,,0,0,0,What seeing world rise new authoritarian axis lays wo,1539201908660
110,,,,,,,,0,0,0,Ass nipple one pic x retweet see without panties DM panties still sale BTW day,1539201908666
111,,,,,,,,0,0,0,Retweet agree Obama divided America well Trump became president,1539201908662
112,venom,,,,,,,0,0,0,I love stupid relationship venom,1539201908665
113,,,,,,,,0,0,0,Ain nothing stopping plastic,1539201908661
114,MPN,Anitta,SelenaGomez,Anitters,AnittaGata,Medicina,MaiaReficco,0,0,0,MayraTerry MPN Anitta SelenaGomez Anitters AnittaGata Medicina MaiaReficco HotelTransilvania PCAs TheAlb,1539201908664
115,,,,,,,,0,0,0,BREAKING DOW PLUNGES POINTS IN WORST DAY SINCE FEB AMID TECH STOCK SELLOFF RATE FEARS,1539201908659
116,,,,,,,,0,0,0,Chapter Barrier Barrier Vanah Multifandom via,1539201908659
117,Twitler,POSPOTUS,,,,,,0,0,0,God forbid cancel Nazi Rally natural disaster eh Twitler POSPOTUS,1539201908658
118,Twolves,,,,,,,0,0,0,Told Butler breaking silence right sitdown ESPN Interview air tonight Twolves,1539201909658
119,,,,,,,,0,0,0,Twitter nt fw lol,1539201909658
120,,,,,,,,0,0,0,Jimmy Butler reportedly teamed rd stringers beat starters featuring KAT Wiggins scrimmage p,1539201909659
121,,,,,,,,0,0,0,It true No One Compares To You,1539201909666
122,,,,,,,,0,0,0,When autocorrect changes haha HAHAHAHA alright calm I m excited,1539201909661
123,,,,,,,,0,0,0,Job hunting state jobs,1539201909666
124,,,,,,,,0,0,0,After Failing To Take Down Kavanaugh Democrats Smear The Supreme Court Itself WSJ,1539201909657
125,,,,,,,,0,0,0,Y emotional support squirrel flight I make,1539201909666
126,,,,,,,,0,0,0,Many deemed foreign come country children speak British accents ties,1539201909659
127,,,,,,,,0,0,0,know going serenade lot beautiful ladies one heartbreaker music,1539201909658
129,,,,,,,,0,0,0,He s going anything repeat talking points Trump gave him,1539201909657
131,,,,,,,,0,0,0,Performance Skills Vocal Technique Audience Interaction Songwriting All Coaching nee,1539201909666
132,,,,,,,,0,0,0,I busted fat nut,1539201908660
133,Astros,,,,,,,0,0,0,Not corny Maze designed commemorate Astros World Series win,1539201909662
134,,,,,,,,0,0,0,If Beto win dude honestly I mad fuck friends get go vote This man really wen,1539201910658
135,,,,,,,,0,0,0,With gone world much safer now,1539201910658
136,,,,,,,,0,0,0,Lol fuck shades white exclusive concealer sponge set,1539201910658
138,,,,,,,,0,0,0,Why I keep procrastinating I know I going hate later yet I Still Keep Doing It,1539201910657
139,,,,,,,,0,0,0,If SM Investors think fans interested NCT willing support effect the,1539201910657
140,,,,,,,,0,0,0,Wisconsin football player charged sexually assaulting two women night,1539201910662
141,,,,,,,,0,0,0,You right Ruby Not I would EVER concur thing Oops I,1539201910663
142,AMAs,,,,,,,0,0,0,Well duh BTS Favorite Social Artist AMAs,1539201910660
143,,,,,,,,0,0,0,wonder fall later,1539201910657
144,,,,,,,,0,0,0,Anyone inhales Yoongi BASSBOOSTED WE VE LIVED TOGETHER FOR EIGHT YEARS,1539201910665
