,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Lily Collins Love Rosie,1539204120665
1,Wythenshawe,,,0,0,0,Young people Wythenshawe commissioning services Wythy Youth Bank event th Oct,1539204120665
2,,,,0,0,0,Purchase OK I mean definitely ok I need like fuck I guess,1539204120661
3,,,,0,0,0,CAN see SMILES even centimetres aPA,1539204120661
4,,,,0,0,0,If ask number refuses Pls Pls kidnap thanks coming TED talk,1539204120658
5,,,,0,0,0,Random thoughts sets,1539204120661
6,psatmemes,,,0,0,0,junior year may filled sorrow tears last year enjoy psatmemes take moment apprecia,1539204120658
7,,,,0,0,0,God using darkness pain turn man woman wants be,1539204120659
8,,,,0,0,0,Depression NOT Sadness It s absence feeling The dull ache falling abyss darkness To FEEL again,1539204120658
9,,,,0,0,0,Juan Williams Why Doesn Trump Apologize Ms Ford,1539204120659
10,,,,0,0,0,Yeah I nt actually know s told hopefully I ll better job Pandora,1539204120661
11,,,,0,0,0,RIGHT UGH KINGS,1539204120660
12,,,,0,0,0,Why though LOL,1539204120659
14,,,,0,0,0,This W better Rocky top stairs,1539204120658
17,,,,0,0,0,Did hear news I character new movie Wreck It Ralph Breaks The Internet Can wait,1539204120666
18,AMAs,BTSLYTour,,0,0,0,Summary top news today BTS Favorite Social Artist AMAs BTS added amp BTSLYTour Burn The,1539204120664
19,,,,0,0,0,The homegirl grandfather missing please AND REPOST,1539204120660
20,,,,0,0,0,With Kavanaugh court Roe v Wade likely overturned Planned Parenthood announces break glass case,1539204120663
21,,,,0,0,0,Trump s OpEd latest dishonesty Republicans desperate hide attacks Medicare preexisting conditio,1539204121662
23,,,,0,0,0,I saw dress today Some people perfect,1539204121665
24,,,,0,0,0,Aw looks like Amala,1539204121661
25,,,,0,0,0,Emma Mhic Mhathuna making lot look like hateful people May RIP,1539204121666
26,,,,0,0,0,ICYMI If consequences seemingly false allegations accusations bet left use th,1539204121665
27,,,,0,0,0,jimin copying jungkook s move cr hosjmn,1539204121662
28,,,,0,0,0,Breaking Former Adidas consultant TJ Gassnola testified oath afternoon paying families Deandre A,1539204121660
29,,,,0,0,0,Life among last Google users,1539204121664
30,,,,0,0,0,A great piece efforts Burgerville Workers Union Democratic Socialists America organize the,1539204121658
31,,,,0,0,0,I petty cancelled,1539204121665
32,,,,0,0,0,I m fucking tired liberal used insult Liberalism gave vote Liberalism gave equality Liber,1539204122666
33,,,,0,0,0,Country music racism whiskey re basically,1539204122666
34,theapprentice,,,0,0,0,Nice see girls redesigning Cool Spot theapprentice,1539204122659
35,,,,0,0,0,For little I gutted might skip seeing favorite band ever I sooo,1539204122660
36,,,,0,0,0,u lay drunk shit,1539204122665
37,,,,0,0,0,Now I dead,1539204122664
38,,,,0,0,0,You never find noble friend Yeah never threatening one,1539204122665
39,,,,0,0,0,My earring came thru,1539204120665
