,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,The validity time warnings updated Please see date information,1539202260662
2,,,,0,0,0,u know addy Pull anytime Say face But I you I,1539202260666
3,,,,0,0,0,Jw sugar daddy,1539202260657
4,,,,0,0,0,I inadvertently met one Madaya He forced join terrorists among first take reconciliation r,1539202260658
6,AMAs,NCT127,NCT,0,0,0,LOOK WHO WE FOUND AMAs Red Carpet tonight us NCT NCT,1539202260658
7,,,,0,0,0,Reminder brownshirt flash mobs surround seconds Stay prepared Vote Republican AntifaNaz,1539202260665
8,,,,0,0,0,This column may break record number falsehoods President ever published newspaper opEd Just t,1539202260662
9,,,,0,0,0,Who fast ass daughter FaceTiming son,1539202260664
10,,,,0,0,0,I knew car I drew kindergarten real,1539202260658
12,,,,0,0,0,We nt stop playing get old get old stop playing No one would ever guess re Mi,1539202260658
13,,,,0,0,0,Lt Reginald Campkin Canadian Infantry Central Ontario Regiment Aug,1539202261658
14,,,,0,0,0,Hillary Clinton We ca nt civil Repubs Eric Holder When Repubs go low kick Antifa Do say we,1539202261658
15,,,,0,0,0,society respect elders millennials even burnt hole ozone s going erase human,1539202261665
16,,,,0,0,0,dont give fo,1539202261659
17,,,,0,0,0,Yay ur cute would choke I pass,1539202261663
19,,,,0,0,0,offset wanting smoke barnes amp noble wit joe budden fucking hilarious lmfaoooo,1539202261666
20,,,,0,0,0,Who Is Tucker Carlson Narrated Samm Levine NowThis via,1539202261666
21,,,,0,0,0,Wouldn advise anyone get bc shot literally destroyed health If men worry thi,1539202261658
23,,,,0,0,0,Kemp office cancelled m voter registrations since Nearly k registrations cancelled alone,1539202261657
25,,,,0,0,0,In rare move published oped My jaw floor reading shocked USA,1539202261659
27,,,,0,0,0,Talking Atiku wrote Nobody speak Hausa language explain meaning simple,1539202270662
28,,,,0,0,0,Just really understanding MOTHERS see kids best things ever happen in,1539202270657
29,,,,0,0,0,CelticsBulls NBA Playoffs Series one greatest,1539202270660
30,,,,0,0,0,Okay I m alittle excited,1539202270659
31,2ALuvin,,,0,0,0,Well Golly Gee Just READ THIS ALuvin BEAUTY WRITTEN TOP And YOU LL know AllYouNeedTo,1539202270664
32,,,,0,0,0,feeling like green skeleton October long,1539202270666
33,,,,0,0,0,Terror Vault haunted experience opens SF Old Mint,1539202270665
34,1s,,,0,0,0,Girl trust I stan artist multiple s This smell sucess s,1539202270657
35,VoteYes,Shake,,0,0,0,Give us seen Rachelle today HUGE VoteYes graphic Here Shane Shake,1539202270664
37,,,,0,0,0,Love consequences But mean ever stop loving Love th,1539202270660
39,,,,0,0,0,I never thought I d see marriage cultural Marxist critique bastardisation entire scientific field,1539202270657
40,brokenmedia,backto60,ToryPoison,0,0,0,And Complaining stuck traffic Sickening brokenmedia backto ToryPoison,1539202261665
41,,,,0,0,0,know I feel acct deadass boyfriend I first started dating Yes I,1539202261660
42,,,,0,0,0,Tomorrow National sex day thing fucking life,1539202261661
43,,,,0,0,0,For God sake I sick tired pictures Macedonian muslims Some morons whole,1539202262663
44,,,,0,0,0,That s funny I ask pizza bbq everyone else asking dicks,1539202279662
45,,,,0,0,0,years later lmaoo xbox one,1539202279665
46,,,,0,0,0,RIPNDIP ICE CREAM Feat,1539202280659
47,,,,0,0,0,He s rough week let s say nice thing Rafael Ted Cruz help cheer I d like com,1539202280662
48,,,,0,0,0,Republicans cheating changing rules fit agenda throwing process proc,1539202280662
49,,,,0,0,0,Bow degree majesty,1539202262658
51,,,,0,0,0,Willy going find jesus nt mind Hes sure comprehend still,1539202262665
52,,,,0,0,0,Climate Change Do You Believe In Manmade Global Climate Change,1539202262661
53,,,,0,0,0,Bee GeesStayin Alive,1539202262659
54,,,,0,0,0,I donated If progun control,1539202262660
55,,,,0,0,0,Hold moments bring joy They fleeting life full pits want swallow you,1539202262660
56,,,,0,0,0,I called last week,1539202262660
57,,,,0,0,0,win games without Lmfaooooo,1539202262663
58,,,,0,0,0,We condemn death Venezuelan opposition member Fernando Alban hands Maduro regime strongest terms The r,1539202262663
59,,,,0,0,0,Pennsylvania mind Sign statewide newsletter make sure never miss update,1539202262661
60,1DDrive,1DDrive,,0,0,0,Follow everyone LIKES this Join The Best DDrive Add DDrive To Your Tweets,1539202262665
61,,,,0,0,0,After difficult weekend damage control members antiimmigration group white supremacis,1539202262659
62,,,,0,0,0,My first public postnomination event meeting youth leaders party As I promised o,1539202261658
64,,,,0,0,0,Welcome Downtown Gallipolis Poppy s,1539202263660
65,,,,0,0,0,OH MY GOD,1539202263657
66,,,,0,0,0,Hillary Clinton We ca nt civil Repubs Eric Holder When Repubs go low kick Antifa Do say we,1539202263666
67,,,,0,0,0,call selling meat back wagon life,1539202263665
68,,,,0,0,0,We condemn death Venezuelan opposition member Fernando Alban hands Maduro regime strongest terms The r,1539202262663
69,,,,0,0,0,I learned stop doubting amp start claiming belongs,1539202263663
70,,,,0,0,0,THIS Kanye West happens negroes nt read Laughter around Listen black folks TRADE Ka,1539202263662
71,,,,0,0,0,I vote lobster named George voting Susan collins SUSAN COLLINS I,1539202263661
72,,,,0,0,0,hannah baker mom found tub,1539202263661
73,,,,0,0,0,Brian Kemp running GA gov Stacey Abrams black woman Kemp charge elections amp voter registr,1539202263665
74,WMHD2018,,,0,0,0,On WMHD welcome govt focusing mental health services years Tory cuts understaffing neglect auste,1539202263662
75,,,,0,0,0,Ummm world anyone allow,1539202263661
76,,,,0,0,0,Wendy employee Would like try new Me,1539202263665
77,,,,0,0,0,Leader McConnell Dems calling absurd changes Constution get power Stacking SCOTUS s,1539202263659
78,romancepremade,sexycovers,,0,0,0,Back To Front NEW romancepremade lets picture talking P sexycovers,1539202263664
79,,,,0,0,0,I ve seen baller moves day man DC grabbing James Gunn writemaybe direct Suicide Squad Disne,1539202262661
80,,,,0,0,0,Know prospective student s interested CU Denver Preview Day coming,1539202262657
82,bbcqt,,,0,0,0,I urge boycott news programmes bbcqt stop equating balance putting liars balanac,1539202264664
83,,,,0,0,0,PlayStation name changes FINALLY way,1539202264663
84,,,,0,0,0,My lil bro,1539202263662
85,,,,0,0,0,child mental health important grades,1539202264664
86,,,,0,0,0,wow gon na get bottom one,1539202264661
87,NBATwitter,TheJump,,0,0,0,I heard took third stringers beat starters NBATwitter TheJump,1539202264660
88,,,,0,0,0,Is glitch new pickaxe backpack There glow coming shown,1539202264659
89,,,,0,0,0,This week start best podcast,1539202264666
90,psat,psatmemes,,0,0,0,psat psatmemes Zia Thank Sylheti people,1539202264665
91,,,,0,0,0,I like picture really shows really nice tattoo I wait see on,1539202264664
92,,,,0,0,0,girls natural mean face amp cool shit amp goofy,1539202264663
93,,,,0,0,0,None choices listed,1539202264659
94,,,,0,0,0,Where I say I Socialist I admire Socialism ideology It wan,1539202264657
95,np,SoundCloud,,0,0,0,Listen PSYCHO SHIT FTJUICEDADLARRY Lil Harry np SoundCloud GO SUPPO MY BRO,1539202264662
96,,,,0,0,0,Might fuck around disappear old forest amp never seen,1539202264657
97,,,,0,0,0,Tune today pm Max Murphy Special interviews Keith Wofford Republican candidate attorney general and,1539202264659
98,WorldMentalHealthDay,WMHD2018,,0,0,0,WorldMentalHealthDay WMHD Why discuss dinner table Especially kids m,1539202264658
99,,,,0,0,0,The latest The sminus Daily Thanks,1539202264665
100,,,,0,0,0,When drowning homework decide go w friends instead,1539202261662
101,,,,0,0,0,Journey Into Mystery CGC st Hulk Prototype New case,1539202264657
102,,,,0,0,0,What REALLY said Layden Y MF need Yall winning without All MF soft AND WONT WIN They AL,1539202265662
103,,,,0,0,0,A lot things,1539202265657
104,,,,0,0,0,I need real friend,1539202265658
105,,,,0,0,0,He said You go dealership get car auntie like WHAT Uhhhh sir,1539202265665
107,,,,0,0,0,Roses red My penis blue They wo nt let cum What,1539202265658
108,,,,0,0,0,Procrastination whooping ass,1539202265660
109,,,,0,0,0,Lmao This guy pretending current president,1539202265666
110,,,,0,0,0,people followed today tracked,1539202265659
111,,,,0,0,0,So Wednesday paperwork admin day I love Wednesdays I get catch everything It also,1539202265663
112,,,,0,0,0,need mutuals rt stan wdw irl nhc nct bts sos emma james ethan amp grayson jack amp,1539202265657
113,,,,0,0,0,Bizarre Things That Must Be House Disclosure Those That Don,1539202265665
114,,,,0,0,0,Claim US dollars everyday joining daily free raffle Cube TV,1539202265658
116,,,,0,0,0,Trump signs bills help patients stop overpaying drugs via,1539202265662
117,,,,0,0,0,Whoever turns Allah completely Allah turn completely Whoever turns away Allah completely Alla,1539202266664
118,,,,0,0,0,mood Consequences era begun think music video,1539202266657
