,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Can get bed I reminded inaction much I could done I sorry,1539203640666
1,,,,0,0,0,A little post bath lip sync battle night Myla one heck lip syncer,1539203640659
2,,,,0,0,0,last night someone peeded concert leslie believe,1539203640658
3,,,,0,0,0,Good morning bitches bell ends I hope fabulous start day remember ask yourself,1539203640658
4,WorldMentalHealthAwarenessDay,,,0,0,0,Don scared talk WorldMentalHealthAwarenessDay,1539203640658
5,,,,0,0,0,When Govt talks strong economy remember reality Homelessness amp poverty rising amp workers live,1539203640666
6,,,,0,0,0,A lot would greatly benefit googling attachment styles goes depth how,1539203640660
7,,,,0,0,0,Asking account details important actually sending money importanter,1539203640657
8,,,,0,0,0,Why left Why meet middle Column A Column B always black white,1539203640665
9,,,,0,0,0,sad say I unfollow far many political retweets Good luck I admire pushing,1539203640666
11,,,,0,0,0,NBA news Warriors head coach Steve Kerr makes LeBron James claim ahead Lakers clash,1539203640665
12,AnneHathaway,GenderEquality,GlobalGoals,0,0,0,Thanks AnneHathaway commitment advancing rights empowerment women GenderEquality GlobalGoals,1539203640666
13,,,,0,0,0,Millennials I serious question Why hell go amp vote,1539203640657
14,BTSinLondon,BTSLoveYourselfTour,,0,0,0,BTS concert BTSinLondon BTSLoveYourselfTour,1539203640665
15,,,,0,0,0,one person followed automatically checked,1539203640664
16,mustread,SAPTechEd,IntelligentEnterprise,0,0,0,TY mustread SAPTechEd blog intro IntelligentEnterprise sets bold vision cus,1539203640665
17,,,,0,0,0,AHHH FIRST HALLOWEEN TUTORIAL IS LIVE EASY SPIDER HALLOWEEN MAKEUP TUTORIAL Go check babes,1539203640664
18,,,,0,0,0,Swear I weak,1539203640666
19,,,,0,0,0,I gon na get little Uly something Disneyland ima bring Porto instead,1539203640664
20,,,,0,0,0,Yay Tracy trending That means get share THIS Like needed excuse Who else loves good C,1539203640657
21,,,,0,0,0,genders counting coming,1539203640662
22,,,,0,0,0,Hey Guys Final night RETWEET fast follow back Follow retweetslikes Am following retwee,1539203640658
23,,,,0,0,0,Having pleasurable time,1539203641658
24,,,,0,0,0,Dictionary definition mob A large disorderly crowd people especially one bent riotous destructive ac,1539203641661
25,,,,0,0,0,Live Share straight witchcraft,1539203641657
26,,,,0,0,0,Having money nice Life becomes easier nje,1539203641665
27,,,,0,0,0,Big bro drop wan plus Fine Fine Apple Spotify,1539203641662
28,,,,0,0,0,mood Consequences era begun think music video,1539203641666
29,,,,0,0,0,I liked video CEPEDIERS,1539203641661
30,,,,0,0,0,s Kim Kardashian Hollywood Switch,1539203641664
31,,,,0,0,0,I want everybody meet Lola Lion,1539203641665
32,,,,0,0,0,Lmao This guy pretending current president,1539203641666
33,,,,0,0,0,Jimin I m show smile Jungkook,1539203641658
34,,,,0,0,0,Llady Gaga is SHAKING,1539203641664
35,,,,0,0,0,rly important mashup,1539203641665
36,,,,0,0,0,Oh I bet enjoyed himself,1539203641662
37,,,,0,0,0,fuckfifn cryinf remember infinity war press run interviewer asked tom holland cast member woul,1539203642658
38,,,,0,0,0,s happening behind curtain It pure evil Do listen anyone saying trolling har,1539203642660
39,,,,0,0,0,I deserve yelled top lungs grown ass man boss belittling ta,1539203642658
40,letsgetthesedubs,BITCH,,0,0,0,The fact fixed orisas spread blizzard knew exactly needed letsgetthesedubs BITCH,1539203642660
41,,,,0,0,0,jesus love bomb bop,1539203642665
43,,,,0,0,0,This Kyungsoo looks like right Jongin kisses,1539203642661
45,HR,,,0,0,0,While I appreciate inspiration HR never answer,1539203642662
46,MeToo,,,0,0,0,Yesterday told Dr Ford s testimony raised visibility MeToo movement amp ought encourag,1539203642658
48,,,,0,0,0,MINNESOTA IS THIS WHAT YOU WANT VOTE DEMOCRAT amp IT S YOURS YOU KNOW WE RE ALMOST THERE ALREADY VOTE RED MINNE,1539203642660
49,,,,0,0,0,If Opposition wants go wild goose chase Nirmala Sitharaman,1539203642661
50,TheApprentice,TheApprentice2018,,0,0,0,TheApprentice When re pitch re pointing faults TheApprentice,1539203642660
51,,,,0,0,0,trans Q ever time returned clothes received Jk I interest clothes I wea,1539203642663
53,,,,0,0,0,Electro Swing ingame Cop drop,1539203643662
54,ConsequencesMusicVideo,,,0,0,0,CAMILA amp DYLAN SPROUSE KISSED ConsequencesMusicVideo,1539203643665
55,,,,0,0,0,Korean amp Mexican Boy Bands Super Junior amp Team Up On CrossCultural One More Time Otra Vez Wa,1539203643657
56,,,,0,0,0,You see soul leave soon said,1539203643657
57,,,,0,0,0,therapist generation bothers satan give intro tour say shit l,1539203643660
58,DeathPenalty,humanrights,,0,0,0,The DeathPenalty humanrights violation Without exception Join call end cruel amp inhumane practice ev,1539203643659
