,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Soph truly person get low moods hell holes,1539204720661
1,,,,0,0,0,Life update mental health finally getting better physical health lot pain,1539204720665
2,,,,0,0,0,Once harassed restaurant family threatened violenc,1539204720664
3,,,,0,0,0,Uhhh hello stop broke thanks,1539204720660
4,,,,0,0,0,enter win autographed baseball Rules,1539204720657
5,,,,0,0,0,We seen Hillary basically calling anarchy amp I see violence She says You c,1539204720658
6,AMAs,,,0,0,0,Made fierce new friends tonight already mastered power smize AMAs,1539204720659
8,,,,0,0,0,Exactly Is nt way already schools churches,1539204720659
9,,,,0,0,0,Happy Birthday lazy wavy haired samurai Sakata Gintoki Thank teaching us always look forward,1539204720662
10,,,,0,0,0,He shouldnt cry I DO,1539204720666
11,,,,0,0,0,Persona All Out Attack Gags Volume Featuring Ann Takamaki,1539204721657
12,,,,0,0,0,Risky move leaving good job Brentford good manager,1539204721664
13,F1,JapaneseGP,,0,0,0,F JapaneseGP Last corner LEWIS HAMILTON WINS THE JAPANESE GP nd Bottas rd Verstappen,1539204721657
14,,,,0,0,0,Lmao I wish I use line you,1539204721662
15,,,,0,0,0,I bet oxygen CRISP shit,1539204721660
16,,,,0,0,0,It hump day,1539204721661
17,,,,0,0,0,Ahahaha u know u know,1539204745662
18,BTS,TheSocialCelebrity,PCAs,0,0,0,member solo titled Stigma Wings album BTS TheSocialCelebrity PCAs,1539204745659
20,,,,0,0,0,Our rescue teams equipped milk stretchers amp vital medicines including drips offer immediate aid scene d,1539204745664
21,,,,0,0,0,playing stupid twitter night wid,1539204745662
22,,,,0,0,0,Remainiac academic unable comprehend UK single sovereign nation despite fact funds salary Little wo,1539204745660
23,,,,0,0,0,cutest shit ever seen,1539204745666
25,,,,0,0,0,Can wait alone,1539204745662
26,,,,0,0,0,This whole minute clip worth watching Kamala Harris grills FBI Director Chris Wray Kavanaugh supplemental ba,1539204745659
27,,,,0,0,0,seksixxx com gujratporn girls slippers porn maria ozowa drinking urine xnxxcat movles danc,1539204745658
