,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,THIS NIGGA LOOK LIKE A LESBIAN VAMPIRE,1539202860659
2,BigFinishOriginals,,,0,0,0,REVIEW Shilling amp Sixpence Investigate Written BigFinishOriginals,1539202860658
3,BTS,BTSLoveYourselfTour,BTSxLondon,0,0,0,An incredible show BTS BTSLoveYourselfTour BTSxLondon,1539202860663
4,,,,0,0,0,I dont know Cable fella sure nt killed many people Melanoma,1539202860662
5,,,,0,0,0,jimin copying jungkook s move cr hosjmn,1539202860659
6,,,,0,0,0,While nt looking House voted HR Illegal immig NOT allowed vote It devalues citizenship AND,1539202860664
8,,,,0,0,0,Thanks master telling,1539202860657
9,,,,0,0,0,college grads get job change bio tweets opinions employers Thank god said,1539202860658
10,,,,0,0,0,RM For I think balance work amp hobby important When concentrate much work be,1539202860657
11,,,,0,0,0,This lie The GrahamCassidy bill YOU supported allowed eliminating protections preexisting conditions ins,1539202860664
12,,,,0,0,0,would nt comment s spending much less election cycle outlined financial pressures,1539202860665
14,,,,0,0,0,The DOW Jones fell whopping points today Why nt Trump taking credit,1539202861666
15,,,,0,0,0,I think actually crazy literally feel happy No matter hard try keep eve,1539202861658
16,,,,0,0,0,Laughable easy people get best pals,1539202861660
17,,,,0,0,0,god second pic like chin,1539202861661
18,,,,0,0,0,The Marvel Bunch Animojis,1539202861662
21,,,,0,0,0,put arms around memory,1539202861663
22,,,,0,0,0,Cherry WineHozier But I want s crime That s around time,1539202861660
23,Venom,EddieBrock,,0,0,0,Venom EddieBrock RunHug,1539202861659
24,,,,0,0,0,loosing shit bc think something happened gone fucking minutes,1539202861657
25,,,,0,0,0,The tongue power life death love eat fruit Proverbs,1539202862659
26,,,,0,0,0,Hurricane Michael strengthens dangerous Category storm set slam Florida Panhandle Miami Herald,1539202862665
27,HAVANALive,,,0,0,0,HAVANALive London never tour represents important part life live show wa,1539202862658
28,,,,0,0,0,I found interning Britt rates Streisand version highly Ive seen tha,1539202862665
29,,,,0,0,0,Last Heroes x TwoWorldsApart Eclipse feat AERYN NCS Release via,1539202862666
30,,,,0,0,0,make em miss ya,1539202862665
31,,,,0,0,0,Our battered suitcases piled sidewalk longer ways go But matter road life Jack Kerouac,1539202862660
32,,,,0,0,0,Today would good day release tax returns,1539202862663
33,,,,0,0,0,President Trump blurring line administration personal interests casts shadow doubt hi,1539202862661
34,,,,0,0,0,people think talk trash make fun others traveling concerts artist definition,1539202862658
35,,,,0,0,0,In case anyone forgotten normal wonder US president hiding tax returns a,1539202862666
37,,,,0,0,0,love sis thank beautiful song never disappoint,1539202862661
38,FirstMan,,,0,0,0,Neil Armstrong s inspiring story ignites big screen Ryan Gosling FirstMan In theaters Thursday Night Get,1539202862659
39,AntiSemitism,,,0,0,0,AntiSemitism rears ugly head among left seems,1539202863657
40,,,,0,0,0,Congratulations Ronnie Barkan You inducted Stella Kubler Society,1539202863665
43,,,,0,0,0,Nice Well done,1539202863663
44,,,,0,0,0,Yep like last year,1539202863666
45,,,,0,0,0,Yup spoiled toddler behaviour With way much time hands Very likely still living parents,1539202863663
46,,,,0,0,0,Pizza rolls amp sour cream,1539202863664
48,,,,0,0,0,maybe disrespectful giving mic raised card Quam raised a,1539202862666
49,,,,0,0,0,Honored IBM Fragoment Best Diversity Initiative National HR Awards LGBT Ally Engagem,1539202863664
50,,,,0,0,0,Me end thank God s worst year life going great,1539202863660
51,,,,0,0,0,I believe I living timeline Lana Del Rey literally told Azalea Banks bitch ass pull ro,1539202864663
52,Fuckabee,Swiftkickinthevotes,,0,0,0,This one really bit ass huh dumbdumb Fuckabee Swiftkickinthevotes,1539202864659
53,,,,0,0,0,Decided I tweet I actually want need tweet Finding place social media nowadays m,1539202864661
54,,,,0,0,0,And I nt know texture sound reason sounds midi maybe couple,1539202864660
55,,,,0,0,0,Andrei Paluda also denounces lack effectiveness Belarusian justice One major arguments world,1539202864659
56,,,,0,0,0,Of players moved CFL trade deadline Blake Lavoie Ackie Stanford Canadian only,1539202864657
57,,,,0,0,0,tan antoni sleeping car part,1539202864657
58,JeffAndHamoOnHot,,,0,0,0,Exclusive Catch On JeffAndHamoOnHot Tomorrow Morning From am am With,1539202864660
59,,,,0,0,0,Best Hoverboard Kids Ultimate Electric Scooter Guide Parents,1539202864658
60,,,,0,0,0,Good call This government must explain Do also tell nation family links Ottavio Quatttrocchi More re,1539202864659
61,writingteacher,NCTEvillage,teachwriting,0,0,0,Wise words writingteacher Thank sharing NCTEvillage teachwriting WhyIWrite,1539202864661
62,,,,0,0,0,God Is A Woman No Dance Club Songs chart via,1539202864664
63,,,,0,0,0,Ok hurricane needa hurry cause wind aggy nah,1539202864665
64,,,,0,0,0,We nothing number days,1539202864657
65,,,,0,0,0,Me always believe women But men R innocent proven guiltyThey need report but,1539202864664
67,,,,0,0,0,You want head Me,1539202865657
68,,,,0,0,0,Yes love put words mouth,1539202865658
69,,,,0,0,0,Damn Panama City took direct hit eyewall,1539202865661
70,,,,0,0,0,Obviously blue part land,1539202865662
71,,,,0,0,0,A amp T canceling class time,1539202865664
72,,,,0,0,0,Hi BE Free thoughts Failure Imprisoned system No Liberties s time BREAKTHROUGH Cre,1539202865662
73,,,,0,0,0,I think staged Philippine Arena tour stop ph,1539202865658
74,,,,0,0,0,I added video playlist XXXTentacion A Ghetto Christmas Carol WSHH Exclusive Official,1539202865663
75,,,,0,0,0,want troye release uk dates asap money pls yet,1539202865660
76,KhabibMcGregor,khabib,UFC229,0,0,0,He respects deserves respected KhabibMcGregor khabib UFC ConorMcGregor ConorvsKhabib khabib KhabibNurmag,1539202865658
