,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,villagers town confronting years playing,1539199860663
2,SATmemes,,,0,0,0,When think know difference effect affect hit dash comma SATmemes,1539199860666
3,,,,0,0,0,I liked video Someone blew house Minecraft One Life SMP EP,1539199860665
4,,,,0,0,0,Status Deeply In Love,1539199860662
5,,,,0,0,0,Anyone want break,1539199860663
6,,,,0,0,0,WHEN I TELL YOU NOTHING ABSOLUTELY NOTHING WILL EVER PREPARE YOU FOR HOW BEAUTIFUL AND AMAZING BTS SOUND IN REAL LIFE VIDE,1539199860661
7,,,,0,0,0,BREAKING Former NYC Mayor Michael Bloomberg reregisters Democrat Independent,1539199860657
9,,,,0,0,0,Of course ve met,1539199860665
10,,,,0,0,0,promise nobody earth would give edibles away kids free,1539199860663
11,WorldMentalHealthDay,BTSLoveMyself,ENDviolence,0,0,0,An important reminder young people around WorldMentalHealthDay BTSLoveMyself ENDviolence,1539199861664
12,,,,0,0,0,Yuta making sure winwin slip,1539199861662
13,,,,0,0,0,Dear feminists If women equal men every way amp treated equal every way men presumed,1539199861665
14,Trulythebest45,520PROMO,RT,0,0,0,Quality music go check new Trulythebest Same St PROMO,1539199861658
15,,,,0,0,0,Can thank God kids saved sex trafficking today Michigan,1539199861663
17,,,,0,0,0,Spooky Guy Young Face Official Music Video,1539199861666
18,,,,0,0,0,Throw would ve chosen insurance free Somebody s lying,1539199861664
19,,,,0,0,0,said bitch born die,1539199861658
20,,,,0,0,0,It support Barkha seems irrelevant daily horror ordinary Indian women face So far wh,1539199861659
21,,,,0,0,0,stuff like scare,1539199862661
22,,,,0,0,0,So anyone looking nice town s Bend OR They work employee s bone have,1539199862662
23,,,,0,0,0,So vele vele gays rely straight people produce gays,1539199862657
24,,,,0,0,0,madridista always madridista,1539199862657
25,,,,0,0,0,Lino Lakes New Listing Beautiful movein ready home large lot Enjoy room five,1539199862662
26,,,,0,0,0,spontaneously used inworld instead emic today I think I m going stick,1539199862663
