,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,Politicians weaponised poverty Its like dont know right thing As frequently abroad they,1539200880664
1,AMAs,,,,,0,0,0,YOU ARE ALL INCREDIBLE helped make magical moment happen tonight Love guys AMAs New Artist Ye,1539200880662
3,,,,,,0,0,0,It s like big tornado says Trump hurricane HE IS SUCH A FRIGGIN MORON,1539200880663
4,,,,,,0,0,0,Imagine Jihope going shopping furniture bedroom see lamp,1539200880665
5,,,,,,0,0,0,Sehun The first winner Kim Jongdae Wife person Next time I make sure bring Jongdae he,1539200880659
7,,,,,,0,0,0,Thanks nothing You terrible job You allowed United States literally laughed the,1539200880663
8,,,,,,0,0,0,Mother Earth almost angry every woman I know,1539200880657
9,iU_BBIBBI,,,,,0,0,0,every uaena reaction BBIBBI iUBBIBBI,1539200880657
10,,,,,,0,0,0,This way accurate,1539200881663
11,,,,,,0,0,0,noticed one eh ure videos lochleven boat I got pic boat watch,1539200881660
13,,,,,,0,0,0,looking forward taking son hunting camp things tell momma,1539200881664
15,,,,,,0,0,0,Regular reached US Apple Music videos,1539200881660
16,,,,,,0,0,0,With apparent option branded heinoussocialistDemocraticagendaoftheClintonsObamas amp Co th,1539200881665
17,,,,,,0,0,0,give GOD buttercup ll turn self destruction self production okurrr,1539200881658
18,,,,,,0,0,0,Elected official says illegals voted California Are kidding,1539200881664
19,,,,,,0,0,0,I added video playlist Main Rahoon Ya Na Rahoon Full LYRICAL Video Emraan Hashmi Esha Gupta,1539200881659
20,,,,,,0,0,0,Doctors amazed amp indignant could healed Listen othe,1539200881666
21,,,,,,0,0,0,The EU s fundamentally trade bloc trade decisions made Brussels If Britain any,1539200881666
22,,,,,,0,0,0,She left four men die BenghaziShe never speak especially civility Act,1539200882665
23,,,,,,0,0,0,A light skin girl full time job,1539200882658
24,,,,,,0,0,0,yves daughter mom sister named rose yves love roses named yves daughter,1539200882658
25,,,,,,0,0,0,CoinFast Whitelist Open Sign Up Now Register whitelist take part upcomin,1539200882666
26,,,,,,0,0,0,This greatest Stan Lee cameo ever anyone disagrees indenial,1539200882663
27,,,,,,0,0,0,John Cox actually shot win governor California Supposedly s within points polls polls,1539200882657
28,,,,,,0,0,0,mood Consequences era begun think music video,1539200882665
29,,,,,,0,0,0,Here s Tolliver Teague Butler practice today neither would fully confirm Another player via text when,1539200882657
30,,,,,,0,0,0,Send dm I hit yo,1539200882666
31,제이홉,정호석,JHOPE,BTS,BTSLoveYourselfTour,0,0,0,Just Dance K LY Tour London Full JHOPE BTS BTSLoveYourselfTour,1539200882662
32,,,,,,0,0,0,s something help time pass lmao,1539200882658
33,,,,,,0,0,0,Morning Consult poll says Matt Bevin one unpopular governors country year teacher protests a,1539200882664
35,,,,,,0,0,0,Wow blessed So happy recovering well sharing story hel,1539200882658
36,,,,,,0,0,0,Successful Leaders Are Great Communicators How Connect Your Employees,1539200882661
37,,,,,,0,0,0,A man dog take shelter parking garage Hurricane Michael passes Panama City Florida,1539200882662
38,,,,,,0,0,0,Wow blessed So happy recovering well sharing story hel,1539200882658
39,,,,,,0,0,0,Wan na hook hottest Hotties like HAF really gorgeous knows please man whatsoever his,1539200881665
40,chilhavisto,,,,,0,0,0,Beautiful mind incontra chilhavisto,1539200883661
41,,,,,,0,0,0,Due safety delivery carriers attempt deliver Thursday s paper tonight In cases the,1539200883661
42,,,,,,0,0,0,Let s quick Skull Squad giveaway Winner receive equivalent VBucks Paypal Gift Card buy a,1539200883664
43,,,,,,0,0,0,I feel like I wasted lot time dealing one person No one else even deserves chance waste,1539200883666
44,,,,,,0,0,0,And holding pinky fingers I swear,1539200883662
46,,,,,,0,0,0,Have nt traded two days Might take another This bit crazy,1539200883664
47,,,,,,0,0,0,If want see change start Get Better better A positive mindset get far Stay focused on,1539200883664
49,,,,,,0,0,0,Earthquakes tsunamis tornadoes traditionally Acts God Insurance Forms But climatechange continues coas,1539200883660
50,,,,,,0,0,0,take care miss already,1539200883661
52,,,,,,0,0,0,WHO DO I HAVE TO BEAT UP THAT BROKE YOUR HEA,1539200883658
53,,,,,,0,0,0,Disregard Sarah Elizabeth cupp We move Clinton third way middle like I ve advocated Gop would still ha,1539200883658
54,thinkin,BVR,,,,0,0,0,Have preordered thinkin yet cop iTunes Apple Music Spotify BVR coming soon,1539200883658
55,,,,,,0,0,0,Just like Jihadi Eric Holder fights harm differing beliefs If nt submit sick dangerous i,1539200883662
56,,,,,,0,0,0,WATCH CNN s Brooke Baldwin Has Freakout Over MWord,1539200883664
57,,,,,,0,0,0,Jensen s face Danneel s dark hair eyes He s beautiful lt,1539200883658
58,,,,,,0,0,0,Haven voted republican since Don foresee ever voting,1539200883664
60,,,,,,0,0,0,I feel like I need address cause dumbass used face I date I date I vibe at,1539200882662
61,,,,,,0,0,0,Lmao competitive ass,1539200884664
62,PSAT,,,,,0,0,0,What CAM scientists see walking lab watering plants weeks PSAT,1539200884659
63,,,,,,0,0,0,Huh seem pretty strong opinions regarding Goblin Slayer I probably mention far,1539200884663
64,,,,,,0,0,0,When I see security camera screen thing target self checkout,1539200884661
65,,,,,,0,0,0,President Trump wants Photo ID order vote every State agree I back MY President t,1539200884658
67,,,,,,0,0,0,Going high nt mean weak,1539200884657
68,,,,,,0,0,0,When drowning homework decide go w friends instead,1539200884663
69,,,,,,0,0,0,Money Don Sleep,1539200884661
70,,,,,,0,0,0,Here Scotland public water supply public owned absolutely minging complete bullshit,1539200885663
71,,,,,,0,0,0,Are looking sexual satisfaction London London x city escorts place pro,1539200885662
72,,,,,,0,0,0,I hate guys wearing NIKE JUST DO IT shirt make eye contact,1539200885661
74,,,,,,0,0,0,Hi Chris congrats father,1539200885663
75,,,,,,0,0,0,Really makes think,1539200885658
76,,,,,,0,0,0,You supported voted celebrity presidency That know much PERIOD htt,1539200885661
77,,,,,,0,0,0,I never seen anything truer,1539200885658
78,WorldMentalHealthDay,olderpeople,olderadults,,,0,0,0,WorldMentalHealthDay nt forget olderpeople olderadults particularly vulnerable group,1539200885664
80,,,,,,0,0,0,Get free gift card w preorder amp qualified activation new Pixel XL Verizon,1539200883663
81,,,,,,0,0,0,A fitting send amazing woman deserved much better,1539200885664
82,,,,,,0,0,0,Seeing drunk mirror like,1539200885658
83,,,,,,0,0,0,art expression application human creative skill imagination typicall,1539200885661
84,fishing,fishon,fishinglife,Norfolk,,0,0,0,New Species My st Ruff Happy fishing fishon fishinglife Norfolk,1539200885659
85,,,,,,0,0,0,Get free gift card w preorder amp qualified activation new Pixel XL Verizon,1539200883663
86,,,,,,0,0,0,said separate law he,1539200886659
87,,,,,,0,0,0,yall dumbasses voted harambe aint forget,1539200886666
88,,,,,,0,0,0,damn u look fine fuck lem follow never speak,1539200886663
89,,,,,,0,0,0,Cuz girls QUEENS,1539200886659
90,,,,,,0,0,0,Anthony Hopkins kills people new Silence Lambs movie despite murder,1539200886664
91,,,,,,0,0,0,Big Mouth Season Nails Its Representation Growing Up With Rheumatoid Arthritis,1539200886661
92,,,,,,0,0,0,Warning h I warming greenhouse The relay dryer,1539200886659
93,,,,,,0,0,0,I dying This family called cops whales I ca nt breathe RETWEET,1539200886662
94,,,,,,0,0,0,As far banks amp or credit offerings go Citi gt BoA Chase olds Wells Fargo locals amp Trump su,1539200886665
95,,,,,,0,0,0,If less K followers Retweet Follow everybody participating Follow back instantly people get,1539200886659
96,PCAs,TheSong,IDOL,PCAs,,0,0,0,ARMYS really need help voting category PCAs TheSong IDOL please thank family PCAs,1539200886663
97,,,,,,0,0,0,Why anyone live city,1539200886665
98,,,,,,0,0,0,She wants play mud super bug Jackie also like dresses long hair would ra,1539200886662
99,,,,,,0,0,0,U LOOOK SO GOOD,1539200886664
100,,,,,,0,0,0,program nt allowing begin stream whatsoever I click Go Live type game t,1539200886665
101,,,,,,0,0,0,Lil booties need rubs,1539200886659
102,,,,,,0,0,0,If love someone like truly deeply love someone love god let fucking nap,1539200887660
103,,,,,,0,0,0,Here high school football statistical leaders compiled clth,1539200887665
104,,,,,,0,0,0,Twitter forwarding post best Hillary,1539200887664
105,,,,,,0,0,0,These days hard feel stupid refraining fraud paying taxes telling truth s,1539200887665
106,WorldMentalHealthDay,,,,,0,0,0,WorldMentalHealthDay I understand pain Trust I I seen people go darkest moments lives l,1539200887666
107,,,,,,0,0,0,MY MILKSHAKE BRINGS NO ONE TO MY YARD BECAUSE I DON T HAVE MY OWN YARD I WISH I I HAD MY OWN YARD SO I COULD PRACTICE CAWH,1539200887660
108,,,,,,0,0,0,AHHHHHHH PICK US,1539200887664
110,FunkoNYCC,,,,,0,0,0,amp follow chance win NYCC exclusive orange chrome Batman Pop FunkoNYCC,1539200887662
111,,,,,,0,0,0,Actually nice list,1539200887657
112,Giveaway,NerdBlast,,,,0,0,0,Giveaway QUEEN OF KENOSHA Howard Shapiro Ends NerdBlast via,1539200887663
113,,,,,,0,0,0,I wait til I fully pain I never forget,1539200888657
114,,,,,,0,0,0,All time best,1539200888657
115,,,,,,0,0,0,ohhhhh trust agree,1539200888661
116,,,,,,0,0,0,I think I like permanently tired,1539200888661
117,Narbhi,Shivika,Ishqbaaaz,,,0,0,0,keep calm love narbhi Narbhi Shivika Ishqbaaaz,1539200888659
118,,,,,,0,0,0,Jimmy Butler reportedly teamed rd stringers beat starters featuring KAT Wiggins scrimmage p,1539200888659
119,,,,,,0,0,0,I eat pussy people need food,1539200888661
120,,,,,,0,0,0,Thy sacred image Orion heaven rises sets every day I Sothis following I forsake,1539200888659
121,job,Houston,Media,Hiring,CareerArc,0,0,0,Can recommend anyone job Houston TX Media Hiring CareerArc,1539200888664
122,,,,,,0,0,0,One app development digital experience company making easier developers build accessibility,1539200888666
123,,,,,,0,0,0,At one point scrimmage sources said Butler turned GM Scott Layden screamed You bleeping need You ca nt w,1539200888657
124,,,,,,0,0,0,I ve couple Thursday night league tourneys fun,1539200888662
125,,,,,,0,0,0,LMAAAAAOOOOOOOOO DAAAAWWWWGGGGGGGG I going hell laughing hahahahaha,1539200888666
126,,,,,,0,0,0,A yearold man presented fatigue sensitivity cold A physical examination showed delayed relaxation ankle j,1539200888659
127,,,,,,0,0,0,Justice AntiKavanaugh Protester Accosting Elderly Man Gets Struck Long Arm Law,1539200888660
130,,,,,,0,0,0,Your Cartier frames birds,1539200889660
131,,,,,,0,0,0,Without spirit prayer churches songs worship principles power crowds con,1539200889666
132,,,,,,0,0,0,hotel Chicago also reported increase Saudi customers cushioned hotel somew,1539200889664
133,GBCLightning,,,,,0,0,0,Women s Tennis holds lead Holy Family doubles GBCLightning,1539200889658
134,,,,,,0,0,0,I extremely grateful things work way I wanted,1539200890661
136,,,,,,0,0,0,named former captain Brody Silk captain season Connor Brown Jeff Cor,1539200890661
137,,,,,,0,0,0,child mental health important grades,1539200890659
138,,,,,,0,0,0,If handle Frankenstein deserve Dracula,1539200890663
140,CHEN,,,,,0,0,0,NEWS CHEN s OST tvN drama Days My Prince released October PM KST,1539200890661
141,,,,,,0,0,0,I getting many reports DM tweets posted timelines,1539200890666
142,TheSong,TheMusicVideo,BackToYou,PCAS,TheMaleArtist,0,0,0,tmjNYCsecure TheSong TheMusicVideo BackToYou PCAS TheMaleArtist BrunoMars,1539200890657
144,,,,,,0,0,0,Too spicy IG,1539200890664
145,,,,,,0,0,0,You know else part Black ai nt nobody tryna hear Rachel Dolezal,1539200891661
146,,,,,,0,0,0,another one add growing collection,1539200891664
147,,,,,,0,0,0,yall ve never met ANYONE ANYONE lifetime s AS caring Jimin like man actually sprinted across fu,1539200891660
148,,,,,,0,0,0,djammmer veronicageek ScotPSUG I might interested could find something interesting areas Maybe t,1539200891658
149,,,,,,0,0,0,Keep us together,1539200891662
150,,,,,,0,0,0,My truth changes lives My truth I child God,1539200891658
151,,,,,,0,0,0,So Willfully risking lives purposely causing,1539200891659
152,,,,,,0,0,0,Thanks retweet reminder,1539200891662
153,,,,,,0,0,0,Masala news nothing That,1539200891661
154,,,,,,0,0,0,Congratulations partner fina,1539200891658
155,,,,,,0,0,0,My eyes started sweating I watched,1539200891666
156,,,,,,0,0,0,My little monster,1539200891658
157,realestate,,,,,0,0,0,You make house home Ask info realestate,1539200891660
158,,,,,,0,0,0,If less k Followers Retweet Follow everyone Retweet Follow back Gain UNFOLLOWERS Not ALL,1539200892661
159,,,,,,0,0,0,A man puts elderly parents care home man,1539200892659
160,,,,,,0,0,0,Let s Play Outlast Part We Found A Friend via,1539200892666
161,,,,,,0,0,0,fuckn spanish amp french majors smh,1539200892660
162,,,,,,0,0,0,Live From Brennan Fentanyl One five,1539200892661
163,GainWith,Adnan074,,,,0,0,0,Gain actives real quick Retweet Follow Follow back GainWith Adnan,1539200892666
164,,,,,,0,0,0,I much often heard female name Usually spelled Marian,1539200892659
165,,,,,,0,0,0,Can make Michelada Mondays thing,1539200892661
166,,,,,,0,0,0,Everything BTS rise improbable They Korean pop group supposed make it become hig,1539200892659
167,,,,,,0,0,0,Unlike charity blockchain projects nt merely putting existing giving paradigms onto blockchain We are,1539200892659
168,AravindhaSametha,,,,,0,0,0,Anantapur benefit shows Gross L AravindhaSametha,1539200892662
169,,,,,,0,0,0,dance u bookstore,1539200892662
170,,,,,,0,0,0,The last project Ahmed Hayman creative touch Karim Bakry,1539200892665
171,,,,,,0,0,0,us put respek,1539200892664
172,,,,,,0,0,0,God damn I love country music,1539200892666
173,,,,,,0,0,0,Check I added closet Poshmark Coach White Leather Satchel via,1539200892662
174,,,,,,0,0,0,Obama AG Holder inciting violence I suppose hundreds deaths including Brian Terry Fast Furious arent,1539200892664
175,,,,,,0,0,0,HERE ARE THE NEW POP OF HARRY POTTER missing exclusives be,1539200892661
176,Leoma,TN,realestate,,,0,0,0,See virtual tour listing Shannon Rd Leoma TN realestate,1539200892666
177,,,,,,0,0,0,Is anything special th anniversary,1539200893661
178,,,,,,0,0,0,Lol Ready go The tea party never hurt anyone,1539200893662
179,,,,,,0,0,0,My boyfriend soooooo big amp bad goin bed wan na lil spoon huh,1539200893666
180,,,,,,0,0,0,mom married dad I taking advice lmfao,1539200893664
181,,,,,,0,0,0,I getting many reports DM tweets posted timelines,1539200893663
182,MPN,Anitta,SelenaGomez,Anitters,AnittaGata,0,0,0,fuckfuckshitpis MPN Anitta SelenaGomez Anitters AnittaGata Medicina MaiaReficco HotelTransilvania PCAs,1539200893657
183,,,,,,0,0,0,I Vote New Artist Year Presented Capital One Savor Card Vote,1539200893663
184,,,,,,0,0,0,Agreed That s polarized system detrimental unity The truth went hiding years ago and,1539200893665
185,,,,,,0,0,0,Charisma great wealth creator All babies born charismatic lose along way Easy redisc,1539200893661
186,Someone2Turn2,,,,,0,0,0,I believe SomeoneTurn help build communities understand respect prioritiz,1539200893663
187,VFSummit,,,,,0,0,0,At VFSummit told Lewinsky reference Nanette genuine attempt extend an,1539200893662
189,Consequences,,,,,0,0,0,Consequences many messages love video get was,1539200893663
190,DreamBig,,,,,0,0,0,Hands one best Xbox players fortnite Big plays day Sgooooo DreamBig Check Xbox,1539200893661
191,,,,,,0,0,0,THE NIGERIAN AIRFORCE BOMBED AN IDP CAMP IN THIS COUNTRY AND NOBODY PAID FOR THAT NOBODY WAS FIRED NOBODY WAS CHARGED NOB,1539200893666
192,videoconferencing,CiscoWebex,Meetings,,,0,0,0,How videoconferencing vendors stackup CiscoWebex Meetings See,1539200893665
193,,,,,,0,0,0,A healthy Jake Bentley still best QB roster terms experience vita,1539200893664
194,,,,,,0,0,0,I wait omg,1539200893665
