,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,AMAs,,,,0,0,0,teases new era AMAs acceptance speech I always look albums chapters life t,1539201060657
1,,,,,0,0,0,Hey Ava kind things happen We humans make mistakes Just chillax,1539201060666
2,,,,,0,0,0,jimmy butler bakugo,1539201060657
4,,,,,0,0,0,one past Sunday guy gon na murder NBA season,1539201060658
5,,,,,0,0,0,Penguins playing bubbles,1539201060663
6,,,,,0,0,0,FBI s Wray confirms White House limited Kavanaugh probe,1539201060658
7,,,,,0,0,0,Very simple Blind man fit watch Blue film,1539201060657
8,,,,,0,0,0,If ur homophobic get fuck twitter next mns Its entertainment gay man bitches,1539201060658
9,,,,,0,0,0,Do support Voter ID s States,1539201060664
10,,,,,0,0,0,It really amazing moment end performance Consequences I saw Taylor disco dress front row I,1539201061663
11,,,,,0,0,0,embrace void courage exist proceeds go fight y,1539201061660
12,,,,,0,0,0,first batch RAAR teeshirts hoodies beanies available week flash sale,1539201061658
13,,,,,0,0,0,tell adults think disrespectful let disrespect,1539201061665
14,BTSinLondon,BTSWorldTour,BTSLoveYourselfTour,,0,0,0,Jungkook Fire break chair HES SO CUTE BTSinLondon BTSWorldTour BTSLoveYourselfTour,1539201061662
15,,,,,0,0,0,For I actually know going,1539201061658
16,,,,,0,0,0,Marabastad Prison likes Ngoma Pirates reject Lebese amp Sekotlong time Police closing,1539201061661
17,,,,,0,0,0,Not Trump lying Medicare All This president fought throw million Americans health insu,1539201061666
18,,,,,0,0,0,vociferous emotional times Damn,1539201061666
19,,,,,0,0,0,probably indicative control dynamics outright abuse,1539201061665
20,,,,,0,0,0,You say bc The discrimination face black People mostly due skin tone,1539201061661
21,,,,,0,0,0,This literal call violence,1539201061664
23,,,,,0,0,0,This Trump Adelson jawdropping corruption,1539201061661
24,,,,,0,0,0,probably indicative control dynamics outright abuse,1539201061665
25,,,,,0,0,0,Get fuck porch bitch niggas dms,1539201062663
26,SpidermanPS4,,,,0,0,0,Watch latest video I edited AdumPlaze It lot fun make SpidermanPS,1539201062665
27,,,,,0,0,0,The scythe lit,1539201062665
28,,,,,0,0,0,Two things never chase True friend true love,1539201062659
29,,,,,0,0,0,BREAKING Georgians voter registrations nearly AfricanAmerican held,1539201062663
30,,,,,0,0,0,Some people hit hard since like family Together take look,1539201062665
32,,,,,0,0,0,Thank CJ Keep shining light younger generations,1539201062665
33,Italy,War,Romance,,0,0,0,A TYRANNY OF GOD Visit website Italy War Romance,1539201062662
34,,,,,0,0,0,Check latest Small Streamers Connect hosting clip Tejonage playing Fortnite SupportS,1539201062658
35,,,,,0,0,0,come Daisy Marquez famous looks people THIS IS TALENT,1539201062661
36,efdp,findom,paypig,humanATM,0,0,0,Subs approached Domme yet efdp findom paypig humanATM,1539201062663
37,,,,,0,0,0,scared open thought porn yet opened discovered fact worse,1539201062660
38,,,,,0,0,0,I liked video Thomas Train Stunts,1539201062663
39,,,,,0,0,0,EAST COAST EXP From HYDERABAD DECAN HOWRAH JN Time Table schedule,1539201061660
40,,,,,0,0,0,Your ability correctly discern voice God sabatogedwhen keep ungodly folk inner circle,1539201062663
41,,,,,0,0,0,opens experience I m intense grieving process right I m happy thi,1539201061658
42,,,,,0,0,0,Home edition Literally favorite thing right,1539201062657
43,HandmadeHour,,,,0,0,0,This cream Yarn Bowl fresh kiln today HandmadeHour,1539201063660
44,,,,,0,0,0,reaction water cold sjsjjs cute,1539201063657
45,,,,,0,0,0,know elon musk problematic af like teslas,1539201063663
46,BTSLoveYourselfTour,O2,BTS,btsinlondon,0,0,0,BTSLoveYourselfTour In London At O O BTS btsinlondon,1539201063664
48,,,,,0,0,0,Carry single handed pistols revolvers single handed SawedOff Shotgun holsters Upgraded reinforced,1539201063662
49,,,,,0,0,0,one month anniversary present man,1539201063665
50,,,,,0,0,0,Don forget defended husband serial sexual misconduct allegations suggesting people ch,1539201063663
51,,,,,0,0,0,Are millennials blame decline liberal arts degrees Not necessarily argues Increasing college,1539201063664
52,,,,,0,0,0,I liked video THANKSGIVING MUSIC Peaceful Music Relaxing Music Instrumental Music Marimba,1539201063664
53,,,,,0,0,0,It like lil pride lions someshit,1539201063665
54,InvestigateCPS,FamilyOverFosterCare,CaseOfNationalInterest,,0,0,0,The kids money InvestigateCPS FamilyOverFosterCare CaseOfNationalInterest Watch,1539201063659
55,GetWellSoonJungkook,,,,0,0,0,GetWellSoonJungkook please enough rest hope feel better soon,1539201063658
56,,,,,0,0,0,Our priority safety Do NOT risk lives If evacuation zone modular home path of,1539201063661
57,,,,,0,0,0,Basically sure UN delegates officials thinking Don let door By,1539201063664
58,,,,,0,0,0,This demo something get right now NVIDIA CEO Jensen Huang first km autonomous hi,1539201063664
59,JAEHYUN,재현,NCT,,0,0,0,AMA Red Carpet Billbord interview JAEHYUN NCT,1539201063664
60,FOLLOW,teamfollowback,IFB,InstantFollow,0,0,0,FOLLOW teamfollowback IFB I believe something watching us It s government InstantFollow,1539201061658
61,,,,,0,0,0,azealia killing chicken hexing lana right lana blocking evil spells light magic m screaming t,1539201064665
63,,,,,0,0,0,If less K Followers Retweet Follow Retweets Follow back follows Comment IFB man,1539201064658
64,AMAs,BillboardNews,,,0,0,0,Who loved Camila Cabello s AMAs performance BillboardNews,1539201064662
65,,,,,0,0,0,Game fucking boring I m playing Skyrim,1539201064661
66,,,,,0,0,0,Follow everyone Likes amp S,1539201064666
67,,,,,0,0,0,Y really eating kale smh love,1539201064666
68,,,,,0,0,0,think Miss Libby gave La Jimmy tips stylist number,1539201064659
69,,,,,0,0,0,I mad af,1539201064665
70,,,,,0,0,0,Peter Smith late GOP activist struck professional relationship Michael Flynn early told as,1539201064665
72,,,,,0,0,0,THIS IS THE BEST DAMN NEWS GOOD LORD,1539201064666
73,,,,,0,0,0,I DONT WAN NA RISE N GRIND NO MORE I JUST WAN NA CRY,1539201064665
74,,,,,0,0,0,The ease face murders melodies,1539201064660
75,,,,,0,0,0,A MAGA hatwearing person threw fit emergency room today nt want wait see doctor I,1539201064659
76,,,,,0,0,0,PLS WHY IS HE SO CUTE,1539201064664
77,,,,,0,0,0,Twitter Addiction make forget neighbors,1539201064659
78,FirePreventionWeek2018,,,,0,0,0,Fire Prevention Week Look ways prevent fire FirePreventionWeek,1539201064663
79,,,,,0,0,0,Lucas Lucas lot people trading stock markets need get engrained thier brains focus,1539201064662
80,venom,,,,0,0,0,know us resist gosh top couple Who s good boy venom,1539201064659
81,CNCO,TheLatinArtist,PCAs,,0,0,0,TRECE CNCO TheLatinArtist PCAs,1539201065659
82,,,,,0,0,0,Trump claims helped health insurance premiums come In fact health insurance premiums skyrocketed slas,1539201065657
83,,,,,0,0,0,Did hurt fell heaven nah disregarded red flags attempt help chang,1539201065658
84,,,,,0,0,0,HYUNA AND EDAWN FINALLY SAID FUCK CUBE I living,1539201065658
85,PCAs,TheSong,IDOL,BTS,0,0,0,Retweet hyung line included top Bcs proofs PCAs TheSong IDOL BTS,1539201065665
86,,,,,0,0,0,CAN AFRICA AND AUSTRALIA PLEASE NOT BE THE ONLY CONTINENTS THAT ARE SKIPPED,1539201065657
87,,,,,0,0,0,Why Dunkin app keep telling enter promo code I one This app already bothering me,1539201065666
88,,,,,0,0,0,one enjoys cleaning absolutely hates someone tells,1539201065660
89,,,,,0,0,0,vid i tag namjoon screaming,1539201065664
90,,,,,0,0,0,And one thing The people Never Obama hated Obama fury Never Trump ca nt even,1539201065658
91,,,,,0,0,0,amp Follow chance win three Packs NuGo Fiber dLish bars Winners chosen htt,1539201065662
92,,,,,0,0,0,Yes said clear,1539201065665
93,,,,,0,0,0,So far favorite eye make I seen foo,1539201065661
94,,,,,0,0,0,yOU LITERALLY SAID YOU WANTED TO SEE WHAT S IN LOUIS S PANTS,1539201065665
95,,,,,0,0,0,Honestly made cry The end relationship always HARD get b,1539201065657
97,,,,,0,0,0,I ca nt stress enough love u,1539201065666
98,,,,,0,0,0,I m sorry re able get anyone sooner please keep us posted get AR,1539201065662
102,,,,,0,0,0,This whole trial tame compared FBI quote shaking college basketball core A,1539201065665
103,,,,,0,0,0,If believed tweets would think I married boyfriend drink excessively date lots m,1539201061662
104,,,,,0,0,0,What u think inb means lmao,1539201064661
107,AI,MachineLearning,DeepLearning,BigData,0,0,0,Will AI amp data independence AI MachineLearning DeepLearning BigData Fint,1539201066659
109,,,,,0,0,0,AHH thank u sm,1539201066663
110,,,,,0,0,0,one said The rally banned AUOB lied It simple,1539201066659
111,,,,,0,0,0,I m lifestyle called polynobodywantstotouchme,1539201066663
112,,,,,0,0,0,sHe taLk sHit abOut yOu duh I look better,1539201066663
113,,,,,0,0,0,see face im pretty see skinny weigh pounds yeah also,1539201066664
114,,,,,0,0,0,WHY IS JUNGKOOK SO CUTE,1539201066657
116,,,,,0,0,0,Trump Patriot MAGA Train,1539201066664
117,,,,,0,0,0,Aye ya gon na fuck uo Nah gon na take bitchass court fuck em,1539201066665
119,,,,,0,0,0,hi yes Aphria s stock climbed percent unconfirmed report tobacco giant perhaps maybe b,1539201066662
121,,,,,0,0,0,And I m go play JoD,1539201067659
123,KaranvirBohra,SomiKhan,,,0,0,0,KaranvirBohra SomiKhan Wo Sree Kabhi kisi lady ko Touch nahi karega Just Task I know Wo show se bahar,1539201067664
124,,,,,0,0,0,The late day fade spoos great year All risk happens one day market just,1539201067657
125,,,,,0,0,0,There many strengths seeing world different way Autistic people problem solve every day,1539201067662
126,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539201067664
128,,,,,0,0,0,Fuck shitty ppl,1539201067664
130,,,,,0,0,0,The White House meddled investigation ensure judge believe condone meddling another,1539201067665
132,,,,,0,0,0,BTS WORLDWIDE GIVEAWAY BTS YOU NEVER WALK ALONE album TO ENTER Must following Stay active Deadlin,1539201067657
133,,,,,0,0,0,Y propaganda end abortion nothing help prenatal care anything baby born h,1539201067659
134,,,,,0,0,0,Such FUD charges read one sided analysis Impending Crypto Market Crash Expos,1539201067666
135,,,,,0,0,0,got new look feel today Our new team pics pretty cool,1539201067661
136,,,,,0,0,0,When get angry drink tea fork What u get angry,1539201068658
138,,,,,0,0,0,Waiting footage Wolves practice drop,1539201068659
139,,,,,0,0,0,Democrat Kyrsten Sinema denigrated troops service AGAIN equating deaths US soldiers illegal b,1539201068662
140,,,,,0,0,0,A minutes ago Senate Republicans made clear re ok allowing President Trump peddle worthless junk insuran,1539201068662
141,Aviation,news,,,0,0,0,Albuquerque NM Business Weekly FAA chief Sequestration grounding agency More Aviation news,1539201068657
142,,,,,0,0,0,Sure Check DM,1539201068659
144,,,,,0,0,0,Nikki Haley managed engage ethically questionable behavior left reprimanded violating t,1539201069657
145,,,,,0,0,0,Susan Collins Gets Six Figure Payback From Dark Money Group After Voting Yes On Kavanaugh The group Judicial Crisis,1539201069666
146,Psychiatry,Fraud,BBC,Newsnight,0,0,0,Taking Apart Psychiatry FraudKings Mind BBC Newsnight UKIP Infowars UKColumn,1539201069662
147,,,,,0,0,0,We agree angel,1539201069665
148,,,,,0,0,0,This mainstream Left America The attempted assassination Republicans baseball field faze I,1539201069661
149,,,,,0,0,0,The version Beauty Beast deserve beast witch condemned spend days alone meet,1539201069659
150,,,,,0,0,0,mood Consequences era begun think music video,1539201069662
151,,,,,0,0,0,You bad day today luv Me,1539201069666
152,,,,,0,0,0,Assume s socialist right,1539201069660
153,,,,,0,0,0,I think might NPCs,1539201069659
154,AMAs,,,,0,0,0,Congratulations They Favorite Social Artist presented AMAs red carpet,1539201069657
155,,,,,0,0,0,Martech Software company eagerly looking Salesperson Houston You want miss one,1539201069662
156,,,,,0,0,0,Hmmm stupidity sheer ignorance beyond comprehension Study history commenting tweets,1539201069664
157,,,,,0,0,0,Do nt give time people nt value respect,1539201069657
158,,,,,0,0,0,We called Democrats many times really closer SocialistsCommunists party,1539201069661
160,,,,,0,0,0,finally understand psat memes,1539201070664
161,Kik,findom,EFDP,RTgame,0,0,0,Hey subs come calling Tribute obey Kik fancybrooke findom EFDP game humiliation paypigwante,1539201070664
162,,,,,0,0,0,remember blow fan cools,1539201070661
163,,,,,0,0,0,KKKKKK SIM MDS,1539201070658
164,,,,,0,0,0,Three years ago someone well knowledge happening inside created,1539201070662
165,,,,,0,0,0,I believe history repeat I believe God help go much faster He position i,1539201070662
168,,,,,0,0,0,college fine quit asking,1539201070665
170,DIY,cleaningtips,,,0,0,0,Indoor plants need cleaned regularly Are cleaning DIY cleaningtips,1539201070661
171,,,,,0,0,0,Fascinating thread footstones,1539201070657
172,,,,,0,0,0,Today I made cupcake decorated new rose bud nifty,1539201070663
173,یہی_وقت_ہے,,,,0,0,0,nt spoil life enjoy,1539201071657
174,,,,,0,0,0,matter many new animals mans encounter never forgot canela true love right,1539201071659
175,,,,,0,0,0,It I get,1539201071658
176,,,,,0,0,0,Saturday vote confirm Justice Brett Kavanaugh also victory Senate integrity instit,1539201071657
178,,,,,0,0,0,blessings coming believe,1539201071658
180,,,,,0,0,0,Has anyone ever considered fact worried would alright,1539201071661
181,,,,,0,0,0,According potential player trade Demaryius Thomas Do t,1539201071659
182,,,,,0,0,0,False mil v mil We Americans despise cult lunatics,1539201071666
