,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Boo sends titty pic Me,1539199500662
1,,,,0,0,0,She Not In Her Right Mind,1539199500660
2,,,,0,0,0,How much water use day A day without water public health safety crisis It means water showe,1539199500662
3,WorldMentalHealthDay,,,0,0,0,WorldMentalHealthDay It s okay okay Talk others Make known nt okay,1539199500660
4,,,,0,0,0,playlist daquilo la gabbleu kk,1539199500657
5,,,,0,0,0,I lights today Gardai cyclist casually skipped red light When car came he,1539199500666
6,,,,0,0,0,I miss Kris Bryant,1539199500663
7,,,,0,0,0,Bruh taco trucks drive around neighborhood like ice creams trucks,1539199500665
8,,,,0,0,0,What hiding us Brian,1539199500665
9,HurricaneMichael,,,0,0,0,STORM TEAM Powerful HurricaneMichael made landfall Florida panhandle path towards So,1539199500657
10,,,,0,0,0,ZAYN WANTS TO JOIN ONE DIRECTION AGAIN,1539199500663
11,CreamlineCoolSmashers,CreamlineGoodVibes,,0,0,0,Good vibes always Insert Michele CreamlineCoolSmashers CreamlineGoodVibes AJ Ong,1539199500657
12,MakersHour,,,0,0,0,Sounds like I also finish bath panel includes built laundry basket one end MakersHour,1539199500659
14,FW7,,,0,0,0,Congratulations Wernham Hogg LTD Premiership Division Monday League FW,1539199500663
15,,,,0,0,0,Incredibly cute tiny square foot house draws inspiration Dutch Japanese design elements The,1539199500659
16,,,,0,0,0,cute lil museum japan,1539199500663
17,,,,0,0,0,nobody gets nerves mf love,1539199501663
18,,,,0,0,0,SAID kiss hard go,1539199501665
19,,,,0,0,0,Happy World Mental Health Day This year undoubtedly worst year mental struggle ever We re fighting,1539199501657
20,,,,0,0,0,know gone ride amp gone slide,1539199501660
21,,,,0,0,0,Introducing Clearing Robinhood It clearing system last decade built scratch For t,1539199501665
22,,,,0,0,0,They gave us nd amendment fight danger guns hands evil people,1539199501661
23,,,,0,0,0,Tomorrow National sex day thing fucking life,1539199501663
24,,,,0,0,0,Bath s cultural scene dealt blow due exceptional challenges pressures budgets council axes a,1539199501657
25,,,,0,0,0,Matthew Collins student Harnett Central High School NC kicked school football game wearing t,1539199501658
26,,,,0,0,0,Breaking News It s OFFICIAL going win governorship senatorial House resp,1539199501662
27,,,,0,0,0,Jimmy Butler practice today,1539199501659
28,,,,0,0,0,Why nt Trump like America Our country built protest Instead shutting protests could always try b,1539199501662
30,,,,0,0,0,boys twitter talk much fancy call girls irl w body shape fat,1539199501661
31,,,,0,0,0,Is dinner I hopping mancunian fare,1539199501663
32,,,,0,0,0,My afternoon kids I nanny goes little something like Me Tanner I bookbag T Maggie,1539199501665
33,,,,0,0,0,Be prepared get caught Rock Salt stock keep fleet safe moving,1539199501662
34,TommyRobinson,,,0,0,0,If I still soldier I would fly Britian take pic TommyRobinson The man brings respect un,1539199501662
35,,,,0,0,0,This monarchy public purse open closed vulnerable The inequality i,1539199502665
