,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,peep chick move breakup tell younall need know,1539198900659
1,,,,,,0,0,0,follow everyone LIKES,1539198900663
2,,,,,,0,0,0,mention half billion Saudis loaned Jared,1539198900658
3,,,,,,0,0,0,Bu nt hate point stands,1539198900657
5,,,,,,0,0,0,The findings VBS report almost unbelievable There hardly person employ position au,1539198900664
6,,,,,,0,0,0,Moist air warm waters Gulf Mexico ideal wind patterns turbocharged Hurricane Michael hours b,1539198900665
7,MentalHealthDay,,,,,0,0,0,today MentalHealthDay please use voice destigmatize mental health amp support struggling not,1539198900664
9,,,,,,0,0,0,Hostess welcome Olive Garden Jesus hi breadsticks truly unlimited Hostess course Jesus great H,1539198900663
10,,,,,,0,0,0,Wow great stuff always,1539198900666
11,,,,,,0,0,0,Bryonny Justice Kavanaugh Twitter Old White Men Twitter,1539198900666
12,cryptocurrency,bitcoin,,,,0,0,0,ISG BLOCKCHAIN NOW COUNTS ON CASCADING GROWTH Read More cryptocurrency bitcoin,1539198900665
13,,,,,,0,0,0,Happy Birthday I hope day wonderful Be safe,1539198901657
14,,,,,,0,0,0,Hey babe character The Binding Isaac Because mommy wants put foot,1539198901665
15,,,,,,0,0,0,Where The Apprentice losers cafe people go visit The Bridge Cafe London,1539198901664
17,,,,,,0,0,0,I supposed dress apartment I walk class class I walk home,1539198901665
18,,,,,,0,0,0,Put guy Supreme Court ASAP,1539198901659
20,LadyGaga,,,,,0,0,0,A paredback Hollywood debut Bradley Cooper LadyGaga,1539198901665
21,GainWithHoward,,,,,0,0,0,Let s gain real quick Retweet follow Follow everyone Follow back GainWithHoward,1539198901661
22,,,,,,0,0,0,Oh stop acting like nice You fake,1539198901659
23,,,,,,0,0,0,Persistent little fella nt In order say face I,1539198901663
24,,,,,,0,0,0,President Trump said Hurricane Michael grew monster gained strength making landfall Florida,1539198901657
25,,,,,,0,0,0,It really amazing fast running away publicly ava,1539198901661
26,,,,,,0,0,0,Russian hitman s grandmother vanishes telling friends Putin gave hero s medal via,1539198902657
27,,,,,,0,0,0,Today I questioned FBI Director Wray limits White House placed Kavanaugh investigation clear,1539198902657
28,,,,,,0,0,0,The kindness sense community I met far beyond I expected Photographer Angela Owens S,1539198902662
29,YouTube,Videos,WordPress,plugins,Blog,0,0,0,Create amp save filters Search YouTube Videos WordPress plugins Blog,1539198902662
30,,,,,,0,0,0,Talking going brain expressing feelings one hardest thing You ar,1539198902661
31,,,,,,0,0,0,This Fall Outfit Made Curves,1539198902657
32,ShadowBan,,,,,0,0,0,Clearly another ShadowBan rampage For first time ever I went follower numbers I usuall,1539198902660
33,,,,,,0,0,0,Rep Rohrabacher voted times deny protections people preexisting conditions In years never,1539198902661
34,,,,,,0,0,0,If u nigga looking I looking fucking boo HMU whassup,1539198902657
35,kindle,Fire,FireHD,Amazon,,0,0,0,GTA IV Cheats app kindle Fire FireHD Amazon October PM,1539198902660
36,,,,,,0,0,0,WOW This literally demolished home floating front another home Mexico Beach Florida Hurricane Michael,1539198902660
37,,,,,,0,0,0,If I flirt I bored relax,1539198902657
38,,,,,,0,0,0,Blumenthal named plaintiff one ongoing lawsuits company saying s violated th,1539198902665
39,,,,,,0,0,0,s moment cried actual tears amount love adoration warm kindness protectiveness and,1539198902660
