,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,0,0,0,How I leagues Just awful,1539199560659
1,,,,,0,0,0,Follow everyone Likes this,1539199560662
2,,,,,0,0,0,This INSANITY LOOKS LIKE LOVE AMERICA,1539199560660
3,,,,,0,0,0,When much shrimp spillin PoBoy,1539199560665
4,,,,,0,0,0,Happy Birthday Doctor,1539199560658
5,,,,,0,0,0,You see unpopular tweeps low followers count app ehnn Do nt underrate bruhhh the,1539199560661
6,,,,,0,0,0,Me wearing new clothes one day,1539199560660
8,,,,,0,0,0,US courts putting children separated families border adoption without notifying,1539199560658
9,,,,,0,0,0,You still provided article proper research please continue go,1539199560661
10,,,,,0,0,0,You know I em,1539199560663
11,,,,,0,0,0,still gon na cheat,1539199560665
12,,,,,0,0,0,First poster Aladdin liveaction movie via willsmith Instagram,1539199561658
13,Paleo,weightloss,,,0,0,0,Building standard Paleo framework utilize evidencebased approach longterm weightloss succes,1539199561659
14,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539199561662
15,,,,,0,0,0,What yall naming dog,1539199561664
16,,,,,0,0,0,remember ppl drawing white drv angie shit look right,1539199561665
17,,,,,0,0,0,Before worship God need worship mental health come first focus sinning,1539199561659
19,,,,,0,0,0,shout This Is Us Now big time,1539199561661
20,,,,,0,0,0,college fine quit asking,1539199561663
21,,,,,0,0,0,Fellow YouTubers I know struggle seems come job Just know a,1539199561657
22,,,,,0,0,0,I liked video Upgrading My Friends Setup Setup Makeover Season EP,1539199561661
23,,,,,0,0,0,FUNNY amp WITTY Must Listen Me boo hoo TOUR God LOVE Ya Smack n TACKLE points,1539199561664
24,,,,,0,0,0,started promoting iridescence,1539199561662
25,,,,,0,0,0,My mum asked updates Rohingya persecution Feel happy family considerate ummah sufferings,1539199562661
26,,,,,0,0,0,This currently funniest video internet,1539199562657
27,,,,,0,0,0,I miss home,1539199562662
28,,,,,0,0,0,I became fan December I become FAN June,1539199562665
29,,,,,0,0,0,You ever reply back see wan na look thirsty And end forgetting together,1539199562663
30,,,,,0,0,0,You need validation someone never called chose first place God one picked,1539199562663
31,,,,,0,0,0,I skip test questions like I gon na different person I come back,1539199562659
32,,,,,0,0,0,friends need mentalemotional support,1539199562666
33,INKTOBER,,,,0,0,0,DAY OF INKTOBER S YVES picture yves s one neon wearing skates riding gal fi,1539199562662
34,,,,,0,0,0,I love double standard hypocrisy s leftist hypocritical,1539199562660
35,,,,,0,0,0,Safavieh natural fiber collection nfa hand woven jute area rug,1539199562660
36,,,,,0,0,0,So walking Dunkin Donuts minding business Mexican lady randomly started yelling amp cursing me,1539199562658
37,,,,,0,0,0,Thoughts prayers shit,1539199562664
39,,,,,0,0,0,Our National Guard Soldiers executed relief operations years today different The US,1539199562664
