,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,0,0,0,Top reasons live,1539198300665
1,,,,,0,0,0,remix song lolol,1539198300659
2,,,,,0,0,0,Same thing happened Took almost weeks get Still coughing week,1539198300666
3,,,,,0,0,0,Nigga wasted valuable cheating time getting girlfriend food Fuck wrong generation,1539198300661
4,,,,,0,0,0,Uh l want people Venmo shit I want people Venmo,1539198300661
5,,,,,0,0,0,I nt want anybody else tell story coming OWN tell HER story Lots change Michelle a,1539198300657
6,WalkAwayFromDemocrats,,,,0,0,0,Vote Red November WalkAwayFromDemocrats,1539198300665
7,,,,,0,0,0,GLORY SOUND PREP Nov,1539198300658
8,,,,,0,0,0,Was best could come,1539198300662
9,,,,,0,0,0,Ways To Expand Your Bathrooms Without Remodeling,1539198300657
10,,,,,0,0,0,Virginia city says trickortreaters older could face jail time,1539198300664
11,,,,,0,0,0,Let s quick Skull Squad giveaway Winner receive equivalent VBucks Paypal Gift Card buy a,1539198300665
12,,,,,0,0,0,HEY TEACHERS LEAVE THEM KIDS ALONE,1539198300666
13,,,,,0,0,0,In Hip Hop History Today Biz Markie released The Biz Never Sleeps October,1539198300659
14,,,,,0,0,0,You also catch Walking Meat Edinburgh appropriately screen Calamity Zombie Girl,1539198300663
15,,,,,0,0,0,What think Bloomberg s earthshaking controversial report Chinese hardware hacking Plus hack,1539198300658
17,NHPolitics,,,,0,0,0,Plymouth stays lit Dems NHPolitics,1539198301661
18,music,musik,japan,INFORMATION,0,0,0,Dog Ear Killed me Spotify music musik japan INFORMATION,1539198301660
19,,,,,0,0,0,people followed automatically checked,1539198301665
21,,,,,0,0,0,Ever ask somebody advise immediately realize ai nt right person give advise,1539198301666
22,,,,,0,0,0,Oh gintokiiiii happy birthday,1539198301663
23,DelhiGovtVsCentre,,,,0,0,0,Our DelhiGovtVsCentre matter stood pushed back item Regular List Be may case ta,1539198301657
24,,,,,0,0,0,McConnell Points Hillary s Call Dems Abandon Civility Warns Madness Has nt Stopped,1539198301662
26,businesseducation,,,,0,0,0,power brand s important widen access businesseducation,1539198301664
27,,,,,0,0,0,eat veggie burger every car share buy single use cutlery cut dairy reuse bottles take,1539198302658
28,WorldMentalHealthDay,mindfulness,,,0,0,0,Today WorldMentalHealthDay Practising mindfulness one way help improve,1539198302665
29,,,,,0,0,0,A list week s community events Plus see story trending week Wilson County News In thi,1539198302665
