,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,WalesLive,,,,,0,0,0,Thanks Laura s brave family speaking WalesLive tonight,1539199680659
1,,,,,,0,0,0,Saw comment YouTube JRE podcast John Kavanaugh Now usually theres bunch shit comments but,1539199680664
2,,,,,,0,0,0,Mines stuck boot loop literally way recovering apart full install Windows,1539199680665
4,,,,,,0,0,0,Mr Taheri solitary confinement years Iran He must get released immediately ret,1539199680663
5,,,,,,0,0,0,We gon na hear trapper Drake like joint future tape,1539199680660
7,GetTheStrap,CongratulationsYouPlayedYourself,EbroInTheMorning,,,0,0,0,You might GetTheStrap today version CongratulationsYouPlayedYourself Tune EbroInTheMorning Listen,1539199680665
8,,,,,,0,0,0,nt leave let go,1539199680659
9,,,,,,0,0,0,We ever talk since know Happy bday,1539199680661
10,,,,,,0,0,0,Belly rubs favorite,1539199680659
11,,,,,,0,0,0,Someone needs get origin I m dying,1539199680665
12,,,,,,0,0,0,Now Live Come wish luck I open packs,1539199680664
13,,,,,,0,0,0,Got It available Spotify use app I ll make sure get website sorted,1539199680664
14,,,,,,0,0,0,two million four hundred seventy nine thousand five hundred eighty four,1539199680660
16,,,,,,0,0,0,hardly u acc,1539199680662
17,,,,,,0,0,0,Fab meeting representatives Regions HQ Feeling positive future WISH,1539199681662
18,,,,,,0,0,0,Cristiano Ronaldo first player history nominated Ballon dOr years row Appreciate gre,1539199681664
19,npmpuppies,nodejsinteractive,,,,0,0,0,made friend npmpuppies nodejsinteractive,1539199681659
20,,,,,,0,0,0,I ve contributed Guardian Join supporting independent journalism We must su,1539199681666
21,,,,,,0,0,0,yall dumbasses voted harambe aint forget,1539199681665
22,,,,,,0,0,0,Well gets Brexit means US Putin targeted Brexit well Trump,1539199681663
23,WorldMentalHealthDay,BTSLoveMyself,ENDviolence,,,0,0,0,An important reminder young people around WorldMentalHealthDay BTSLoveMyself ENDviolence,1539199681660
24,,,,,,0,0,0,Love Yourself Answer certified Gold Japan selling copies,1539199681666
25,,,,,,0,0,0,oh yah thx followers awesome,1539199681657
26,,,,,,0,0,0,Chris Etheredge deputy chief Dothan Fire Department says city sustained winds mph Isolated power outag,1539199681661
28,,,,,,0,0,0,I need romance idc Wine amp dine forever nigga,1539199681658
29,,,,,,0,0,0,Just seen via teletext received several offers club want turn Leeds into,1539199681660
30,,,,,,0,0,0,Don FaceTime talking yo light bitch mean,1539199682660
31,,,,,,0,0,0,Interesting Bollywood action film Baahubali reportedly massive hit N Korea year young NKoreans openly pra,1539199682660
32,gazebox,whimapp,whimappevents,belgium,antwerp,0,0,0,gazebox partnership whimapp whimappevents belgium antwerp Visit official website,1539199682666
33,,,,,,0,0,0,Sending positive vibrations way Please accept send others,1539199682661
34,,,,,,0,0,0,Dark Spirit xXxSephirothIDFxXX invaded,1539199682663
35,hampshire,MythBust,,,,0,0,0,Now meeting reps hampshire team learn abt role MythBust No waiting gt days intervention,1539199682659
36,,,,,,0,0,0,I dawg lol,1539199683662
37,Michael,,,,,0,0,0,Saddening video Mexico Beach FL widespread damage catastrophic storm surge Michael talaricotessa,1539199683658
38,,,,,,0,0,0,This feminist factchecking project wants counterbalance dominant male perspective,1539199683658
39,,,,,,0,0,0,This fuking disgusting,1539199683659
40,boozywednesday,,,,,0,0,0,Buzzing sun Pay cocktails thank allowing so boozywednesday moi,1539199683659
41,,,,,,0,0,0,anybody wanted get something birthday,1539199683664
42,,,,,,0,0,0,Can women lead tech boom India,1539199683659
43,,,,,,0,0,0,Thanks gorgeous sister,1539199683661
44,,,,,,0,0,0,Dr Stephen Barton former Housing Director City Berkeley As true every election powerful special inter,1539199683664
45,NBAPreseason,,,,,0,0,0,Deonte Burton drops PTS thOT give win NBAPreseason,1539199683659
46,,,,,,0,0,0,Someday ALL LOVE GIVEN AWAY FIND WAY back YOU FINALLY STAY H,1539199683660
47,,,,,,0,0,0,teaching catherine clown properly rn,1539199683662
48,,,,,,0,0,0,Okay I message dinner,1539199683666
49,selfstorage,,,,,0,0,0,Come along take tour selfstorage facility today think ll agree location superb to,1539199683659
50,Michael,,,,,0,0,0,Please listen local authorities Hurricane Michael approaches amp follow updates amp tips help keep safe W,1539199682659
51,,,,,,0,0,0,No conceivable way convince Cannonball Adderly hardcore SLAP,1539199683661
52,,,,,,0,0,0,Just Pinned Halloween Costume Ideas Adult Onesie Animal Pajamas Unisex Kigurumi Costume Halloween Cosplay Sleepwear,1539199682663
53,,,,,,0,0,0,Telling girl priority vs treating like priority two completely different things,1539199684659
54,,,,,,0,0,0,Yalll getting crazyyyy,1539199684663
55,AHSApocalypse,,,,,0,0,0,EXCLUSIVE Kate Mara returning Hayden Apocalypse AHSApocalypse,1539199684661
56,,,,,,0,0,0,I getting money main focus,1539199684665
