,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,140K,,,,0,0,0,Congratulations K followers,1539198540666
1,DreamBigPrincess,,,,0,0,0,DreamBigPrincess ARMY IS HERE,1539198540659
2,,,,,0,0,0,Research results high digital skills related improvement cognitive development,1539198540659
3,internet,,,,0,0,0,nt invent internet firm cofounded invest hundreds millions dollar,1539198540660
4,,,,,0,0,0,That means lot coming verified account,1539198540664
5,,,,,0,0,0,We ca nt believe website free,1539198540666
8,,,,,0,0,0,Point Blank Period,1539198540666
9,,,,,0,0,0,girls registered vote got best pussy,1539198541663
10,,,,,0,0,0,I used hate trashcan punch everclear shit me,1539198541659
11,Music,,,,0,0,0,New Mixtape TPain Everything Must Go Vol Music,1539198541663
12,WWENXT,NorthAmericanChampionship,TripleThreat,,0,0,0,TONIGHT defends WWENXT NorthAmericanChampionship TripleThreat match AND Cham,1539198541658
13,,,,,0,0,0,feel like sometimes come flirty re rly caring att,1539198541658
14,,,,,0,0,0,Proof The Libs purposely registering illegals vote Trump Illegal We need get Trump office,1539198541661
16,,,,,0,0,0,This week join Jamie Dornan amp Rosamund Pike This Friday pm,1539198541659
17,,,,,0,0,0,Bitch said flip page,1539198541663
18,WedgeWednesday,,,,0,0,0,WedgeWednesday THROWBACK Who remembers TaylorMade Golf XFT Wedge The wedge switch club,1539198541665
19,,,,,0,0,0,Government advertising jobs respond recover civil emergencies types result Brexit,1539198542660
20,,,,,0,0,0,Justin Gallegos runner Oregon cerebral palsy thought finishing another cross country race Little he,1539198542663
21,,,,,0,0,0,When Sil Species said I want baby Blac Chyna Amber Rose felt,1539198542663
22,,,,,0,0,0,people followed one person unfollowed automatically checked,1539198542665
23,,,,,0,0,0,So bees fly someone explain hell I glide,1539198542666
24,WorldMentalHealthDay,,,,0,0,0,Today WorldMentalHealthDay Watch client talking coping measures techniques a,1539198542657
26,testimonials,consultants,manufacturing,engineering,0,0,0,Standard Time testimonials timesheet app consultants manufacturing engineering,1539198542658
27,,,,,0,0,0,BRILLIANT Kavanaugh HISTORIC First Move As A Supreme Court Judge Has Liberals In Full Nuclear Meltdown,1539198542662
28,,,,,0,0,0,internetjamesrealnesstrashgodyungrealness top rapper needs put voices internet back,1539198543664
29,KediGüzellikFestivali,CatBeautyFestival,,,0,0,0,KediGzellikFestivali CatBeautyFestival Cat Beauty Festival,1539198543658
30,,,,,0,0,0,white ppl military like u heard new big sean yet,1539198542661
31,,,,,0,0,0,Don Lemon slapped shit Matt Lewis live TV,1539198543665
32,,,,,0,0,0,people followed one person unfollowed automatically checked,1539198543664
33,,,,,0,0,0,The official download happen tomorrow,1539198543664
34,,,,,0,0,0,I swear Lol simple question,1539198543658
35,,,,,0,0,0,He needs parts space ship Hes going otter space,1539198543666
36,,,,,0,0,0,You nt spend lot money lot fun Trust,1539198543666
37,,,,,0,0,0,Lil Wayne Shoots Uproar Music Video,1539198543657
38,,,,,0,0,0,Words Of Encouragement Surround Yourself With Positivity And Empower Yourself Everyday The Path You Walk Many Will,1539198543659
39,HuricaneMichael,,,,0,0,0,HuricaneMichael bad even one R Hurricane evacuated,1539198543659
40,,,,,0,0,0,It s time final wave Gain followers mins Retweet Like tweet Follow back Follow everyone wh,1539198543665
41,,,,,0,0,0,A part really wants change scenery Move different country,1539198543658
42,,,,,0,0,0,When manager make corny joke walk away,1539198543660
43,,,,,0,0,0,LMAO bitch fed us week,1539198543660
45,,,,,0,0,0,Thank God For Life Health Strength,1539198543658
46,,,,,0,0,0,Like whenever I feel guilty future going gym I think damn I push whole person,1539198543664
47,,,,,0,0,0,Wholly crap It official They plan top bottom physically stop conservatives matter Physi,1539198543657
48,retail,,,,0,0,0,Levi s Credits Activism With Surging Sales retail,1539198543665
49,,,,,0,0,0,planning Cedar Rapids IA area anytime soon I showed Power Yet,1539198542664
50,,,,,0,0,0,part with justin hermosa afterporn luto series naked truth,1539198544659
51,instantwingame,,,,0,0,0,Got free chance win TV Tons wins instantwingame,1539198544659
52,Digital,,,,0,0,0,Panel Discussion today s Digital Marketing Forum Crafting Your Marketing Strategy Analytics Data featu,1539198544664
53,,,,,0,0,0,So really coming class week cuz homecoming Me,1539198544664
54,,,,,0,0,0,Some shit people say pure stupidity,1539198544664
55,,,,,0,0,0,Stupid Squirrel said strong Russian accent,1539198544661
56,,,,,0,0,0,I know I ever need father gave million DECLARE BANKRUPTCY TIMES Just saying,1539198544663
57,,,,,0,0,0,ok today best bf decided come visit work flirting with,1539198544660
58,,,,,0,0,0,Is serving IPS Are reporting Doval person NSA extra constitutional position like Sonia s,1539198544662
59,,,,,0,0,0,Dombocrates lost minds,1539198544662
60,,,,,0,0,0,white ppl military like u heard new big sean yet,1539198542661
61,,,,,0,0,0,HOUSTON A professor top cancer research center faces child pornography charges also suspected key,1539198545657
62,,,,,0,0,0,GLORY SOUND PREP Nov,1539198545659
63,,,,,0,0,0,Lowkey BUT YOU CAN GET EXCITED FOR HALLOWEEN HORROR FEST AND THE ROLLER COASTERS AT MOVIE PARK DUMMIE HSSDJFJDJBF,1539198545662
64,,,,,0,0,0,If I park niggas callin walk takin ball period,1539198545659
65,,,,,0,0,0,And I listened today like whole thing I trying organize My,1539198545658
66,,,,,0,0,0,Wow weather tho Houston rn,1539198545659
67,,,,,0,0,0,Good luck dominos Pizza,1539198545663
68,,,,,0,0,0,Let also forget radio host Michael Savage early prominent Trump supporter He published entire book,1539198545658
69,,,,,0,0,0,Ariana confirmed Sweetener World tour also coming Europe American tour dates announced first,1539198545663
71,,,,,0,0,0,I also drunktexted many people,1539198545657
72,,,,,0,0,0,He Dana serious argument night hogs blankets night Dana ended l,1539198545665
73,,,,,0,0,0,Did Mercedes use team orders Fesports,1539198545663
74,,,,,0,0,0,TAHERI founder two schools Complementary Alternative Medicine CAM Faradarmani MetaHealing Psyment,1539198546658
75,BTS,TheGroup,PCAs,,0,0,0,keep streaming gold army BTS TheGroup PCAs,1539198546657
76,,,,,0,0,0,bitch getting fucking uwus,1539198546658
77,,,,,0,0,0,lady gaga shot ruth hogben amp andra gelardin elle magazine november issue,1539198546659
78,,,,,0,0,0,If played along agreed action whatever happens,1539198546664
79,,,,,0,0,0,main point seokjin made double take almost fell knees literally gorgeous,1539198546666
80,,,,,0,0,0,says someone typing snapchat reply,1539198546660
81,arrowsdrive,,,,0,0,0,My country people It s arrowsdrive coast coast like fast retweet,1539198546658
82,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539198546663
83,,,,,0,0,0,Hyuna lost lot weight hope eating well,1539198546659
85,,,,,0,0,0,Poorly worded question appear MSM negative stories completely failing repo,1539198546659
86,sitecoresym,,,,0,0,0,Matt Fairchild presenting sitecoresym Sitecore Azure PaaS,1539198544657
87,,,,,0,0,0,m even american fam tf would I support milltary All blow people,1539198547663
88,,,,,0,0,0,When find fresh new pussy ass perfect MAAAAN I tore hole Yo chocolate dude owe,1539198547665
89,,,,,0,0,0,Can Anyone Hear Me Shout Terrified Climate Scientists Frantically Waving Arms As Passerbys Walk Straight Through Them,1539198547659
90,,,,,0,0,0,SCOTUS upheld voter ID law North Dakota could disenfranchise thousands Native voters amp cost Heidi Heitkamp h,1539198547661
91,,,,,0,0,0,Work hard amp patient,1539198547659
92,,,,,0,0,0,Side bitches beef side bitches okkk coleslaw vs Potato salad,1539198547662
93,,,,,0,0,0,question ll answer instead choose three instructed,1539198547659
94,,,,,0,0,0,What s never anyway,1539198547660
95,Vote,,,,0,0,0,What afraid Vote,1539198547663
96,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539198547661
97,,,,,0,0,0,wild black women still perceived loud angry like seen white woman customer,1539198547663
98,,,,,0,0,0,It fucked person CAME TO YOU wanted FW YOUUUU sudden change minds wa,1539198547659
99,,,,,0,0,0,This year really challenged almost every aspect,1539198547666
100,,,,,0,0,0,From Rock Sound Archive throwback time took Twenty One Pilots Josh Dun record shopping London back,1539198547661
101,,,,,0,0,0,Kris said Kim want check I DO,1539198547657
102,,,,,0,0,0,Central pool demolished Monday,1539198547665
103,,,,,0,0,0,turns party rock anthem also BPM cantina band,1539198547659
104,,,,,0,0,0,d die blink eye,1539198547658
105,,,,,0,0,0,I believe I living timeline Lana Del Rey literally told Azalea Banks bitch ass pull ro,1539198548657
106,,,,,0,0,0,Calling SOS Fam This first deal would mean much guys could take second,1539198548660
107,,,,,0,0,0,For decades US inflicted brain drain countries talented people immigrated Valley In Trumpland the,1539198548660
108,,,,,0,0,0,Imagine Urban Outfitters Forever prices sigh,1539198548660
109,,,,,0,0,0,Things Go From Bad Worse Teacher After Calling Kavanaugh s Assassination,1539198548664
110,,,,,0,0,0,Hi name Br,1539198548659
111,,,,,0,0,0,Look obviously way head willfully ignorant,1539198548665
112,,,,,0,0,0,Brett Kavanaugh credibly accused attempted rape sexual assault The hyenas apologized confirmed and,1539198549657
114,,,,,0,0,0,Whaatt Earl Died Lawd Jesus Ai nt nobody Tole Me Nothinnnn,1539198549661
115,,,,,0,0,0,Go commit breathing,1539198549657
116,,,,,0,0,0,The USPS gives Tribal residents PO boxes Only residents street addresses vote The Supreme Court cut off,1539198549663
117,,,,,0,0,0,I got black dress,1539198549664
118,,,,,0,0,0,really get kicked huh fuck cube,1539198549659
119,,,,,0,0,0,WATCH Ned Price former National Security spokesman President Obama reacts reports missing Saudi journalist cr,1539198549661
120,,,,,0,0,0,READ gt What Primaries Say About Future Democrats via,1539198549664
121,,,,,0,0,0,percent chance ES front close points said I m e,1539198549666
122,,,,,0,0,0,What ever hurts I telling u giving af comes out,1539198549663
123,,,,,0,0,0,I never loyal let tell,1539198549665
126,ToryPoison,UnseatIDS,BloodOnHisHands,,0,0,0,The fuck awful DWP Minister history fuck awful DWP Ministers ToryPoison UnseatIDS BloodOnHisHands,1539198550660
127,,,,,0,0,0,fuck sake poundland went elvis voicing self scans dracula screams unexpected it,1539198550661
128,,,,,0,0,0,I hope get pampered deserve It lovely finally meet Dennis last,1539198550661
